Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,0.14,0.08,0.00,-0.05,0.01,0.02,0.07,0.19,0.25,0.20,0.26,0.19,0.14
Current Ratio,1.53,1.34,1.01,0.86,1.02,1.07,1.22,2.09,2.78,2.37,3.42,2.39,1.62
Time Interest Earn,1.19,1.91,2.69,3.17,2.82,3.67,6.69,9.52,5.52,7.11,4.34,3.39,2.27
Return on Capital Employed,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.08,0.06,0.07,0.05,0.05
Payout,0.00,0.00,3657.26,40.42,31.14,0.00,0.00,0.00,0.00,0.00,59.70,0.00,0.00
Plow Back,100.00,100.00,-3557.26,59.58,68.86,100.00,100.00,100.00,100.00,100.00,40.30,100.00,100.00
Return on Equity,1.45,8.49,9.54,6.96,6.48,9.19,5.91,5.87,5.25,3.83,5.45,3.90,3.85
Return on Assets,0.40,2.42,2.72,2.19,2.20,3.35,2.42,3.00,2.65,1.90,3.04,2.11,1.92
Book Value per Share,29.55,29.90,28.66,26.64,24.78,21.58,19.50,18.32,16.89,16.00,15.38,15.04,14.54
Earning Per Share,0.43,2.54,2.73,1.86,1.60,1.98,1.15,1.08,0.89,0.61,0.84,0.64,0.56
