Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,642.56,0.00,0.00,148.60,102.45,156.45,526.34,142.30,0.00,0.00,0.00
Plow Back,100.00,-542.56,100.00,100.00,-48.60,-2.45,-56.45,-426.34,-42.30,100.00,100.00,100.00
Return on Equity,0.01,0.30,-0.37,-0.23,2.80,3.36,2.20,1.08,1.40,0.03,0.79,-0.26
Return on Assets,0.00,0.29,-0.34,-0.22,2.60,3.13,2.03,0.96,1.26,0.03,0.71,-0.23
Book Value per Share,520.55,520.13,257.84,258.90,264.50,232.68,232.91,123.19,125.86,125.60,125.56,124.57
Earning Per Share,0.02,1.56,-0.94,-0.61,7.40,7.81,5.11,1.33,1.76,0.04,0.99,-0.32
Net Working Capital to Total Asseets,0.00,-0.00,-0.01,-0.00,0.01,0.03,0.03,0.05,0.06,0.05,0.04,0.02
Current Ratio,1.14,0.96,0.72,0.86,1.80,2.62,2.23,2.62,4.08,3.80,3.46,2.29
Acid Test,1.11,0.92,0.72,0.85,1.75,2.58,2.19,2.58,4.02,3.76,3.42,2.26
Times Interest Earned,-8.05,14.14,-0.23,-1.00,627.72,44.03,39.15,40.43,46.50,3.98,10.95,66.03
Total Debt Ratio,0.04,0.04,0.08,0.08,0.07,0.07,0.08,0.11,0.10,0.10,0.10,0.10
Debt To Equity,0.04,0.04,0.08,0.09,0.07,0.07,0.08,0.12,0.11,0.11,0.11,0.12
Return on Capital Employed,-0.00,0.01,-0.00,-0.00,0.04,0.04,0.03,0.01,0.02,0.00,0.01,0.01
Average Collection Period,18.16,26.97,29.79,11.62,45.16,47.98,51.71,36.90,32.44,34.69,45.29,27.90
Days sales Inventory,3.96,4.83,2.42,2.87,4.76,4.32,4.86,4.91,5.55,3.39,3.56,3.38
Total Assets Turnover,0.03,0.05,0.08,0.07,0.14,0.15,0.13,0.15,0.14,0.11,0.11,0.13
Gross Profit Margin,36.07,52.49,54.08,46.11,53.63,53.15,50.75,37.56,39.34,31.88,37.82,47.88
Net Profit Margin,0.14,5.83,-4.07,-3.12,17.99,20.61,16.19,6.58,9.25,0.24,6.23,-1.80
