Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Return on Assets,-35.84,-53.26,-42.71,-41.23,-28.08,-21.25,-35.72,-25.79,-21.11,-16.38,-3.64,-25.87
Book Value per Share,-80.86,-68.15,-55.68,-48.76,-39.81,-50.01,-50.14,-38.12,-27.14,-21.89,-8.93,-15.56
Earning Per Share,-10.59,-12.86,-9.12,-8.67,-6.39,-7.00,-12.57,-11.00,-9.73,-8.39,-2.72,-17.92
Net Working Capital to Total Asseets,-1.76,-2.01,-1.90,-1.78,-1.56,-1.41,-1.32,-1.12,-0.70,-0.47,-0.32,-0.41
Current Ratio,0.16,0.12,0.13,0.13,0.12,0.01,0.13,0.13,0.16,0.22,0.25,0.21
Acid Test,0.15,0.11,0.12,0.12,0.11,-0.00,0.11,0.11,0.12,0.17,0.19,0.16
Times Interest Earned,-0.55,-2.31,-2.07,-2.44,-1.22,-1.04,-2.41,-1.88,-1.78,0.08,-0.44,-3.79
Total Debt Ratio,3.74,3.82,3.61,3.32,2.80,1.95,2.16,1.85,1.62,1.44,1.13,1.24
Debt To Equity,-1.37,-1.35,-1.38,-1.43,-1.56,-2.05,-1.86,-2.17,-2.62,-3.25,-8.70,-5.19
Return on Capital Employed,0.11,0.29,0.24,0.28,0.18,0.23,0.47,0.56,-0.81,0.01,-0.04,-0.47
Average Collection Period,46.05,57.76,41.57,35.13,37.17,38.02,33.20,30.65,26.30,28.12,30.79,23.65
Days sales Inventory,9.22,11.79,10.47,9.01,11.96,12.27,12.88,13.17,12.27,15.15,18.51,15.95
Total Assets Turnover,0.95,0.82,0.81,0.81,0.79,0.66,0.77,0.87,0.92,0.85,0.59,0.64
Gross Profit Margin,5.30,-19.07,-18.64,-16.34,-1.66,-1.92,-7.74,-0.28,1.36,13.92,16.85,4.04
Net Profit Margin,-37.59,-65.06,-52.58,-50.99,-35.64,-32.38,-46.50,-29.59,-22.97,-19.33,-6.16,-40.67
