Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Fixed Assets,"25,199,618,000","25,908,478,000","26,679,521,000","25,084,550,000","16,475,660,000","5,846,214,000","3,521,594,000","2,664,567,337","873,296,496"
Investments,0,0,0,0,0,"403,000","376,000","45,302,923",0
Cash in Hand and Bank,"432,956,000","430,686,000","232,070,000","1,994,203,000","2,197,437,000","1,410,123,000","2,525,719,000","27,170,479","44,439,645"
Stores and Spares,"458,025,000","125,054,000","28,406,000",0,0,0,0,0,0
Stock in Trade,0,0,0,0,0,0,0,0,0
Trade Debts,"884,172,000","699,682,000","259,529,000",0,0,0,0,0,0
Current Assets,"3,413,538,000","2,694,782,000","1,404,317,000","3,036,569,000","2,427,049,000","1,411,245,000","2,526,345,000","87,728,344","44,549,602"
Quick Assets,"2,955,513,000","2,569,728,000","1,375,911,000","3,036,569,000","2,427,049,000","1,411,245,000","2,526,345,000","87,728,344","44,549,602"
Total Assets,"29,667,538,000","29,876,728,000","29,158,197,000","28,525,938,000","19,298,268,000","7,827,532,000","6,590,887,000","3,251,001,169","1,247,049,434"
Interest Bearing Long Term Liability,"12,324,685,000","13,523,138,000","12,449,253,000","12,085,131,000","5,072,404,000",0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,"2,105,000,000","700,000,000"
Interest Bearing Short Term Liability,"1,841,075,000","1,586,915,000","884,541,000","382,005,000",0,0,0,0,0
* Non Interest Bearing Short Term Liability,"1,418,279,000","1,819,983,000","2,492,931,000","102,286,000","487,306,000","46,990,000","16,791,000","629,680,372","9,981,850"
Trades Payables,"1,369,021,000","1,751,970,000","1,903,161,000","60,403,000","470,028,000","46,990,000","16,791,000","629,680,372","9,981,850"
Total Current Liabilities,"3,263,228,000","3,406,898,000","4,359,661,000","1,139,084,000","487,306,000","46,990,000","16,826,000","629,680,372","9,981,850"
Total Liabilities,"15,672,853,000","16,965,466,000","16,835,821,000","13,568,993,000","6,521,347,000","206,319,000","25,104,000","2,734,680,372","709,981,850"
Paid Up Capital,"17,860,928,000","17,860,928,000","14,859,959,000","14,859,959,000","12,706,793,000","7,586,145,000","545,766,000","545,765,830","545,765,830"
Reserves,"-3,866,243,000","-4,949,666,000","-2,537,583,000","96,986,000","70,128,000","35,068,000","6,020,017,000","-29,445,033","-8,698,246"
Preferred Equity,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0
Shareholder Equity,"13,994,685,000","12,911,262,000","12,322,376,000","14,956,945,000","12,776,921,000","7,621,213,000","6,565,783,000","516,320,797","537,067,584"
Paid Up Value,10,10,10,10,10,10,10,10,10
Number of Shares,"1,786,092,800","1,786,092,800","1,485,995,900","1,485,995,900","1,270,679,294","758,614,504","54,576,583","54,576,583","54,576,583"
