Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"2,108,450,000","2,500,137,000","2,921,044,000","3,262,116,000","3,699,976,000","4,149,484,000","4,693,036,000","5,209,807,000","5,548,063,000","5,800,338,000","5,756,510,000"
Investments,0,0,0,0,0,0,"10,250,000",0,"973,004,000","592,372,000","559,847,000"
Cash in Hand and Bank,"1,315,635,000","425,339,000","162,854,000","462,705,000","816,352,000","724,044,000","2,015,717,000","1,287,694,000","1,702,396,000","1,026,176,000","491,188,000"
Stores and Spares,"427,508,000","473,947,000","509,258,000","337,340,000","359,944,000","357,950,000","375,129,000","325,639,000","340,791,000","301,086,000","253,915,000"
Stock in Trade,0,0,0,0,0,0,0,0,0,0,0
Trade Debts,"438,165,000","419,206,000","335,914,000","302,068,000","409,538,000","346,590,000","303,837,000","206,418,000","227,340,000","237,352,000","388,046,000"
Current Assets,"2,406,814,000","1,558,589,000","1,205,165,000","1,319,792,000","1,854,839,000","1,988,841,000","2,965,567,000","2,751,653,000","2,926,620,000","2,366,106,000","1,882,786,000"
Quick Assets,"1,979,306,000","1,084,642,000","695,907,000","982,452,000","1,494,895,000","1,630,891,000","2,590,438,000","2,426,014,000","2,585,829,000","2,065,020,000","1,628,871,000"
Total Assets,"4,596,320,000","4,168,553,000","4,178,208,000","4,640,390,000","5,567,364,000","6,156,844,000","7,676,380,000","7,999,760,000","9,034,695,000","8,315,138,000","7,723,120,000"
Interest Bearing Long Term Liability,0,0,0,0,"298,755,000","896,266,000","1,493,777,000","1,732,173,000","1,966,381,000","2,471,434,000","2,889,331,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,"34,928,000","28,628,000","24,152,000"
Interest Bearing Short Term Liability,0,0,0,"298,755,000","597,511,000","597,511,000",0,"611,411,000","535,194,000","579,691,000","531,593,000"
* Non Interest Bearing Short Term Liability,"1,518,866,000","1,478,512,000","1,387,344,000","1,567,376,000","1,289,207,000","1,300,717,000","2,405,052,000","819,501,000","659,922,000","572,616,000","566,112,000"
Trades Payables,"1,518,866,000","1,478,512,000","1,387,344,000","1,565,560,000","1,283,652,000","1,287,689,000","2,391,755,000","679,299,000","608,635,000","516,717,000","499,724,000"
Total Current Liabilities,"1,607,391,000","1,608,297,000","1,452,166,000","1,999,352,000","1,940,066,000","1,898,228,000","2,405,052,000","1,430,912,000","1,265,130,000","1,152,307,000","1,097,705,000"
Total Liabilities,"1,752,590,000","1,868,594,000","1,837,751,000","2,494,508,000","2,873,680,000","3,572,948,000","4,886,575,000","4,291,759,000","4,353,745,000","4,597,162,000","4,758,516,000"
Paid Up Capital,"1,091,532,000","1,091,532,000","1,091,532,000","1,091,532,000","1,091,532,000","1,091,532,000","1,091,532,000","1,271,532,000","1,271,532,000","1,271,532,000","1,089,610,000"
Reserves,"1,752,198,000","1,208,427,000","1,248,925,000","1,054,350,000","1,602,152,000","1,492,364,000","1,698,273,000","2,436,469,000","3,409,418,000","2,446,444,000","1,874,994,000"
Preferred Equity,0,0,0,0,0,0,0,"180,000,000","180,000,000","180,000,000","180,000,000"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"2,843,730,000","2,299,959,000","2,340,457,000","2,145,882,000","2,693,684,000","2,583,896,000","2,789,805,000","3,708,001,000","4,680,950,000","3,717,976,000","2,964,604,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"109,153,200","109,153,200","109,153,200","109,153,152","109,153,152","109,153,152","109,153,152","109,153,152","109,153,152","109,153,152","90,960,960"
