Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,91.92,89.98,93.55,109.21,119.97,70.63,215.82,96.76,34.82,45.09,0.00
Plow Back,8.08,10.02,6.45,-9.21,-19.97,29.37,-115.82,3.24,65.18,54.91,100.00
Return on Equity,75.16,92.82,119.54,128.09,91.20,80.74,80.68,39.97,27.86,25.66,33.60
Return on Assets,46.50,51.22,66.96,59.23,44.12,33.89,29.32,17.63,13.88,10.92,12.12
Book Value per Share,26.05,21.07,21.44,19.66,24.68,23.67,25.56,32.32,41.24,32.41,30.61
Earning Per Share,19.58,19.56,25.63,25.18,22.51,19.11,20.62,12.75,11.32,8.15,8.41
Net Working Capital to Total Asseets,0.17,-0.01,-0.06,-0.15,-0.02,0.01,0.07,0.17,0.18,0.15,0.10
Current Ratio,1.50,0.97,0.83,0.66,0.96,1.05,1.23,1.92,2.31,2.05,1.72
Acid Test,1.23,0.67,0.48,0.49,0.77,0.86,1.08,1.70,2.04,1.79,1.48
Times Interest Earned,6158.57,3104.95,488.98,89.13,33.35,18.44,18.91,6.21,14.45,9.18,6.62
Total Debt Ratio,0.38,0.45,0.44,0.54,0.52,0.58,0.64,0.54,0.48,0.55,0.62
Debt To Equity,0.62,0.81,0.79,1.16,1.07,1.38,1.75,1.16,0.93,1.24,1.61
Return on Capital Employed,1.01,1.29,1.53,1.58,1.06,0.74,0.69,0.39,0.29,0.24,0.21
Average Collection Period,20.18,18.55,13.20,11.86,16.93,15.97,13.91,11.26,13.55,16.90,31.03
Days sales Inventory,34.92,38.45,39.17,26.38,28.92,29.60,34.56,31.90,35.29,37.35,37.15
Total Assets Turnover,1.72,1.98,2.22,2.00,1.59,1.29,1.04,0.84,0.68,0.62,0.59
Gross Profit Margin,43.63,45.47,48.93,49.78,48.54,44.27,50.32,44.33,42.44,42.59,45.34
Net Profit Margin,26.96,25.88,30.11,29.57,27.83,26.34,28.23,21.07,20.48,17.71,20.50
