Year,2014,2013,2012,2011,2010,2009,2008
Investments,"75,572,000","73,623,000","66,034,000","54,182,000","50,654,000","45,118,000","37,107,000"
Fixed Assets,"12,663,000","3,158,000","4,433,000","8,320,000","7,883,000","2,750,000","13,716,000"
Other Non Current Assets,"2,810,000","3,049,000","3,193,000","3,642,000","360,000","333,000",0
Cash in Hand and Bank,"41,433,000","102,162,000","245,535,000","236,273,000","217,889,000","161,010,000","187,410,000"
Other Current Assets,"820,226,000","743,756,000","647,578,000","764,315,000","643,136,000","521,878,000","466,003,000"
Total Assets,"952,704,000","925,748,000","966,773,000","1,066,732,000","919,922,000","731,089,000","704,236,000"
Under Writing Provisions,"500,151,000","525,997,000","522,399,000","493,383,000","373,500,000","313,042,000","332,578,000"
Creditors and Accruals,"352,995,000","169,590,000","224,683,000","324,634,000","309,769,000","192,042,000","158,082,000"
Other Liabilites,0,"1,556,000","2,405,000","6,108,000","5,816,000","195,000","4,620,000"
Total Liabilities,"853,146,000","697,143,000","749,487,000","824,125,000","689,085,000","505,279,000","495,280,000"
Paid Up Capital,"350,000,000","350,000,000","350,000,000","350,000,000","350,000,000","350,000,000","350,000,000"
Reserves,"-250,442,000","-121,395,000","-132,714,000","-107,393,000","-119,163,000","-124,190,000","-141,044,000"
Preferred Equity,0,0,0,0,0,0,0
Shareholder Equity,"99,558,000","228,605,000","217,286,000","242,607,000","230,837,000","225,810,000","208,956,000"
Paid Up Value,10,10,10,10,10,10,10
Number of Shares,"35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0
