Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Investments,"1,253,929,000","1,278,034,000","1,134,755,000","930,514,000","1,168,837,000","1,174,956,000","1,223,821,000","1,305,644,000","1,346,206,000","1,399,216,000","1,302,087,000"
Fixed Assets,"232,382,000","232,684,000","258,457,000","275,787,000","237,353,000","242,086,000","239,800,000","250,345,000","252,620,000","250,397,000","224,543,000"
Other Non Current Assets,"206,626,000","110,350,000","101,145,000","8,193,000","55,098,000","4,037,000","3,659,000","5,227,000","3,830,000","3,842,000","4,553,000"
Cash in Hand and Bank,"95,196,000","72,840,000","149,275,000","417,714,000","84,797,000","150,993,000","108,938,000","146,836,000","186,633,000","153,847,000","220,578,000"
Other Current Assets,"1,169,167,000","1,295,295,000","1,857,983,000","2,032,642,000","2,139,327,000","1,857,910,000","1,978,079,000","1,597,807,000","1,512,360,000","1,293,978,000","1,036,958,000"
Total Assets,"2,957,300,000","2,989,203,000","3,501,615,000","3,745,154,000","3,685,412,000","3,429,982,000","3,554,297,000","3,305,859,000","3,301,649,000","3,101,280,000","2,788,719,000"
Under Writing Provisions,"939,104,000","1,191,225,000","1,644,663,000","1,713,354,000","1,242,605,000","1,095,550,000","1,325,138,000","1,000,857,000","945,722,000","769,490,000","602,842,000"
Creditors and Accruals,"737,694,000","544,539,000","644,879,000","698,554,000","788,197,000","747,075,000","621,704,000","478,949,000","481,414,000","458,353,000","383,970,000"
Other Liabilites,"123,479,000","78,305,000","78,364,000","45,319,000","44,909,000","59,103,000","53,547,000","44,674,000","36,504,000","30,779,000","27,567,000"
Total Liabilities,"1,800,277,000","1,814,069,000","2,367,906,000","2,503,080,000","2,076,988,000","1,901,728,000","2,000,389,000","1,524,480,000","1,463,640,000","1,258,622,000","1,014,379,000"
Paid Up Capital,"505,650,000","505,650,000","505,650,000","417,893,000","348,244,000","302,821,000","302,821,000","302,821,000","302,821,000","302,821,000","263,323,000"
Reserves,"651,373,000","669,484,000","628,059,000","824,181,000","1,260,180,000","1,225,433,000","1,251,087,000","1,478,558,000","1,535,188,000","1,539,837,000","1,511,017,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"1,157,023,000","1,175,134,000","1,133,709,000","1,242,074,000","1,608,424,000","1,528,254,000","1,553,908,000","1,781,379,000","1,838,009,000","1,842,658,000","1,774,340,000"
Paid Up Value,10,10,10,10,10,10,5,5,5,5,5
Number of Shares,"50,565,000","50,565,000","50,565,000","41,789,344","34,824,454","30,282,134","60,564,269","60,564,269","60,564,269","60,564,269","52,664,582"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0
