Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Sales,"6,286,951,000","9,733,653,000","10,121,320,000","10,630,994,000","9,366,533,000","8,425,768,000","8,024,777,000","7,568,432,000","6,487,127,000","5,272,888,000","5,000,235,000","4,853,764,000"
COGS,"6,390,045,000","7,598,967,000","7,310,647,000","6,202,685,000","5,361,331,000","5,260,265,000","5,435,809,000","5,163,047,000","4,900,167,000","4,531,162,000","3,667,343,000","4,340,151,000"
Gross Profit,"-103,094,000","2,134,686,000","2,810,673,000","4,428,309,000","4,005,202,000","3,165,503,000","2,588,968,000","2,405,385,000","1,586,960,000","741,726,000","1,332,892,000","513,613,000"
Administrative Expenses,"108,603,000","143,060,000","97,538,000","84,581,000","81,545,000","71,023,000","63,871,000","62,278,000","61,907,000","52,321,000","97,654,000","89,978,000"
Selling & Distributive Expenses,"252,699,000","182,383,000","166,913,000","94,064,000","59,982,000","56,969,000","53,143,000","89,961,000","78,800,000","150,576,000","359,975,000","466,047,000"
Financial Charges,"392,754,000","270,704,000","94,896,000","34,694,000","17,471,000","56,323,000","155,177,000","170,280,000","328,024,000","357,916,000","451,465,000","413,203,000"
Other Income,"107,559,000","72,766,000","59,049,000","156,511,000","285,922,000","846,458,000","303,572,000","120,055,000","20,259,000","20,197,000","28,047,000","30,630,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"5,790,000","288,071,000","297,690,000","301,976,000","285,518,000","326,189,000","190,330,000","-45,478,000","214,148,000","129,286,000","277,539,000","149,029,000"
EBITDA,"62,641,000","2,102,993,000","2,821,600,000","4,569,355,000","4,245,853,000","3,907,091,000","2,981,976,000","2,795,946,000","1,619,264,000","808,915,000","1,006,089,000","274,495,000"
EBIT,"-362,627,000","1,593,938,000","2,307,581,000","4,104,199,000","3,864,079,000","3,557,780,000","2,585,196,000","2,418,679,000","1,252,364,000","429,740,000","625,771,000","-160,811,000"
EBT,"-755,381,000","1,323,234,000","2,212,685,000","4,069,505,000","3,846,608,000","3,501,457,000","2,430,019,000","2,248,399,000","924,340,000","71,824,000","174,306,000","-574,014,000"
Tax,"-545,759,000","532,857,000","568,665,000","1,151,960,000","1,327,830,000","1,005,322,000","661,160,000","713,257,000","322,823,000","-48,826,000","138,192,000","-394,043,000"
PAT,"-209,622,000","790,377,000","1,644,020,000","2,917,545,000","2,518,778,000","2,496,135,000","1,768,859,000","1,535,142,000","601,517,000","120,650,000","36,114,000","-179,971,000"
EPS,-0.92,3.48,7.24,12.84,11.09,10.99,7.79,6.76,2.65,0.54,0.18,-0.93
