Year,2019,2018,2017,2016,2015,2014,2013,2012,2011
Fixed Assets,"6,809,174,000","7,680,263,000","8,525,337,000","9,369,818,000","10,018,982,000","8,462,919,000","8,203,680,000","8,088,972,000","7,637,417,000"
Investments,0,0,0,"842,000","969,000","2,389,000",0,0,0
Cash in Hand and Bank,"151,975,000","3,178,000","61,689,000","591,078,000","803,000","1,494,987,000","260,599,000","113,867,000","992,177,000"
Stores and Spares,"834,763,000","1,349,059,000","1,233,756,000","836,954,000","836,161,000","796,713,000","744,513,000","570,800,000","789,002,000"
Stock in Trade,"416,965,000",0,0,"319,573,000","186,875,000","470,121,000",0,0,0
Trade Debts,"20,586,064,000","16,939,272,000","14,166,522,000","11,634,502,000","10,833,800,000","8,009,287,000","10,046,693,000","12,770,094,000","11,022,948,000"
Current Assets,"24,623,019,000","21,101,212,000","18,336,319,000","15,747,801,000","15,529,189,000","12,491,663,000","13,108,105,000","15,536,799,000","14,224,302,000"
Quick Assets,"23,371,291,000","19,752,153,000","17,102,563,000","14,591,274,000","14,506,153,000","11,224,829,000","12,363,592,000","14,965,999,000","13,435,300,000"
Total Assets,"31,455,054,000","28,811,980,000","26,861,956,000","25,118,761,000","25,549,440,000","20,957,271,000","21,311,785,000","23,625,786,000","21,861,734,000"
Interest Bearing Long Term Liability,0,0,"334,369,000","780,194,000","1,226,019,000",0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"11,535,517,000","11,428,169,000","9,640,336,000","7,695,116,000","5,526,684,000","5,270,337,000","6,529,932,000","8,710,864,000","7,836,957,000"
* Non Interest Bearing Short Term Liability,"838,858,000","654,050,000","1,283,061,000","1,609,074,000","3,535,086,000","1,278,845,000","427,752,000","926,392,000","764,871,000"
Trades Payables,"525,088,000","527,540,000","1,174,937,000","1,521,863,000","3,474,597,000","1,176,151,000","313,471,000","649,710,000","497,339,000"
Total Current Liabilities,"12,380,051,000","12,088,951,000","10,923,397,000","9,304,190,000","9,061,770,000","6,549,182,000","6,957,684,000","9,637,256,000","8,601,828,000"
Total Liabilities,"12,400,992,000","12,118,300,000","11,257,766,000","10,084,384,000","10,287,789,000","6,549,182,000","6,957,684,000","9,637,256,000","8,601,828,000"
Paid Up Capital,"3,720,816,000","3,720,816,000","3,720,816,000","3,720,816,000","3,720,816,000","3,720,816,000","3,720,816,000","3,720,816,000","3,720,816,000"
Reserves,"15,333,246,000","12,972,864,000","11,883,374,000","11,313,561,000","11,540,835,000","10,687,273,000","10,633,285,000","10,267,714,000","9,539,090,000"
Preferred Equity,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0
Shareholder Equity,"19,054,062,000","16,693,680,000","15,604,190,000","15,034,377,000","15,261,651,000","14,408,089,000","14,354,101,000","13,988,530,000","13,259,906,000"
Paid Up Value,10,10,10,10,10,10,10,10,10
Number of Shares,"372,081,600","372,081,600","372,081,600","372,081,591","372,081,591","372,081,591","372,081,591","372,081,591","372,081,591"
