Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"22,915,765,000","20,699,488,000","18,105,302,000","16,839,320,000","16,024,977,000","15,087,350,000","14,887,857,000","11,745,290,000","19,375,362,000","18,535,908,000","14,043,833,000","12,224,779,000"
COGS,"18,542,940,000","17,419,213,000","14,369,523,000","13,221,323,000","12,663,569,000","12,872,825,000","12,892,590,000","10,386,198,000","19,011,951,000","17,740,467,000","13,736,498,000","11,281,480,000"
Gross Profit,"4,372,825,000","3,280,275,000","3,735,779,000","3,617,997,000","3,361,408,000","2,214,525,000","1,995,267,000","1,359,092,000","363,411,000","795,441,000","307,335,000","943,299,000"
Administrative Expenses,"1,158,716,000","1,098,040,000","1,009,898,000","897,392,000","752,730,000","787,249,000","587,636,000","345,690,000","638,536,000","521,269,000","467,582,000","512,189,000"
Selling & Distributive Expenses,"1,254,341,000","1,167,835,000","1,129,438,000","921,550,000","677,944,000","580,062,000","586,466,000","416,321,000","581,258,000","565,638,000","444,210,000","362,425,000"
Financial Charges,"1,055,940,000","524,852,000","445,495,000","1,307,505,000","643,032,000","751,551,000","845,253,000","528,371,000","1,626,598,000","1,210,323,000","1,278,433,000","1,662,094,000"
Other Income,"2,191,492,000","3,300,676,000","6,501,032,000","6,862,303,000","2,861,913,000","2,875,825,000","2,372,488,000","2,184,106,000","1,007,780,000","1,199,628,000","7,771,145,000","1,285,844,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"929,648,000","344,840,000","495,779,000","392,362,000","347,105,000","221,968,000","153,971,000","30,888,000","555,000","15,185,000","118,682,000","324,000"
EBITDA,"4,051,707,000","4,724,900,000","8,282,172,000","8,897,052,000","5,012,263,000","4,036,589,000","3,494,568,000","4,001,934,000","1,757,673,000","2,425,787,000","8,370,567,000","2,240,249,000"
EBIT,"3,221,612,000","3,970,236,000","7,601,696,000","8,268,996,000","4,445,542,000","3,501,071,000","3,039,682,000","2,750,299,000","150,842,000","892,977,000","7,048,006,000","1,354,205,000"
EBT,"2,165,672,000","3,445,384,000","7,156,201,000","6,961,491,000","3,802,510,000","2,749,520,000","2,194,429,000","2,221,928,000","-1,475,756,000","-317,346,000","5,769,573,000","-307,889,000"
Tax,"819,369,000","709,279,000","939,903,000","1,365,762,000","507,094,000","213,216,000","398,617,000","874,592,000","92,196,000","15,079,000","1,705,649,000","-112,064,000"
PAT,"1,346,303,000","2,736,105,000","6,216,298,000","5,595,729,000","3,295,416,000","2,536,304,000","1,795,812,000","-2,711,465,000","-1,567,952,000","-332,425,000","4,063,924,000","-195,825,000"
EPS,15.06,29.69,69.05,62.61,37.42,29.89,18.33,-32.13,-18.58,-3.94,48.16,-2.32
