Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"6,103,573,000","7,323,760,000","7,798,935,000","8,487,261,000","8,025,683,000","7,393,065,000","6,876,731,000","5,352,956,000","3,941,452,000","3,847,679,000","3,845,739,000","3,322,278,000"
Investments,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
Cash in Hand and Bank,"330,283,000","2,965,229,000","256,100,000","108,093,000","74,610,000","36,763,000","12,753,000","17,373,000","28,088,000","15,104,000","109,559,000","46,718,000"
Stores and Spares,"158,875,000","226,899,000","238,690,000","379,229,000","491,672,000","593,690,000","588,330,000","523,667,000","361,615,000","359,922,000","319,477,000","245,836,000"
Stock in Trade,"6,141,376,000","5,800,812,000","6,204,581,000","7,273,187,000","8,468,495,000","7,960,101,000","7,431,233,000","6,841,159,000","6,776,689,000","7,706,696,000","5,880,236,000","5,327,107,000"
Trade Debts,0,0,"36,458,000","1,523,000","95,928,000","225,182,000","996,000","195,376,000","210,781,000","164,240,000","65,847,000","36,181,000"
Current Assets,"8,791,207,000","10,099,815,000","7,858,482,000","8,708,755,000","10,284,423,000","10,526,677,000","9,244,851,000","8,321,950,000","8,245,590,000","8,907,484,000","6,703,558,000","6,078,190,000"
Quick Assets,"2,490,956,000","4,072,104,000","1,415,211,000","1,056,339,000","1,324,256,000","1,972,886,000","1,225,288,000","957,124,000","1,107,286,000","840,866,000","503,845,000","505,247,000"
Total Assets,"16,357,821,000","18,158,152,000","16,401,851,000","18,027,011,000","19,307,621,000","18,507,565,000","16,568,857,000","13,756,287,000","12,246,164,000","12,807,263,000","10,592,754,000","9,439,784,000"
Interest Bearing Long Term Liability,"203,166,000",0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"1,154,016,000",0,0,"1,338,557,000","13,538,365,000","11,090,651,000","8,776,634,000","4,923,921,000","2,810,170,000","2,471,772,000","789,525,000","770,668,000"
* Non Interest Bearing Short Term Liability,"4,297,861,000","4,917,364,000","3,155,906,000","2,650,609,000","3,119,929,000","2,454,252,000","2,105,883,000","2,160,680,000","2,651,816,000","2,698,670,000","2,592,300,000","2,282,251,000"
Trades Payables,"4,296,586,000","4,917,251,000","3,155,873,000","2,643,360,000","3,053,270,000","2,388,492,000","2,027,811,000","2,090,449,000","1,117,395,000","1,187,234,000","1,210,484,000","1,263,291,000"
Total Current Liabilities,"5,503,772,000","5,547,506,000","3,500,575,000","4,436,975,000","16,658,294,000","14,518,715,000","11,075,278,000","7,803,202,000","5,461,986,000","5,170,442,000","3,381,825,000","3,052,919,000"
Total Liabilities,"5,706,938,000","5,547,506,000","3,500,575,000","4,436,975,000","16,658,294,000","14,518,715,000","11,075,278,000","7,803,202,000","5,682,986,000","5,642,442,000","3,772,825,000","3,445,823,000"
Paid Up Capital,"615,803,000","615,803,000","615,803,000","615,803,000","615,803,000","615,803,000","615,803,000","615,803,000","615,803,000","615,803,000","615,803,000","615,803,000"
Reserves,"-428,920,000","1,530,843,000","1,821,473,000","2,510,233,000","2,033,524,000","3,373,047,000","4,877,776,000","5,337,282,000","5,947,375,000","6,549,018,000","6,204,126,000","5,378,158,000"
Preferred Equity,"10,464,000,000","10,464,000,000","10,464,000,000","10,464,000,000",0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"10,650,883,000","12,610,646,000","12,901,276,000","13,590,036,000","2,649,327,000","3,988,850,000","5,493,579,000","5,953,085,000","6,563,178,000","7,164,821,000","6,819,929,000","5,993,961,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"61,580,300","61,580,300","61,580,300","61,580,341","61,580,341","61,580,341","61,580,341","61,580,341","61,580,341","61,580,341","61,580,341","61,580,341"
