Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"13,334,498,000","16,199,912,000","13,966,525,000","14,213,338,000","14,416,905,000","13,763,743,000","13,728,427,000","13,551,169,000","12,586,982,000","13,302,502,000","13,400,669,000","11,297,221,000"
COGS,"9,144,670,000","10,175,924,000","8,888,275,000","8,192,406,000","9,561,847,000","9,852,699,000","10,060,128,000","9,743,218,000","9,460,827,000","8,956,591,000","8,431,334,000","6,980,754,000"
Gross Profit,"4,189,828,000","6,023,988,000","5,078,250,000","6,020,932,000","4,855,058,000","3,911,044,000","3,668,299,000","3,807,951,000","3,126,155,000","4,345,911,000","4,969,335,000","4,316,467,000"
Administrative Expenses,"1,512,611,000","1,389,471,000","1,355,237,000","1,352,482,000","1,447,678,000","1,235,294,000","1,162,584,000","1,171,320,000","963,612,000","813,395,000","701,145,000","530,091,000"
Selling & Distributive Expenses,"2,663,662,000","3,570,578,000","2,926,658,000","2,941,858,000","3,395,731,000","3,536,256,000","3,035,215,000","2,808,927,000","2,254,522,000","2,540,291,000","2,640,804,000","1,915,540,000"
Financial Charges,"48,807,000","23,094,000","88,802,000","362,703,000","783,121,000","604,186,000","527,425,000","329,843,000","308,690,000","137,275,000","89,336,000","45,639,000"
Other Income,"710,607,000","263,044,000","165,210,000","189,480,000","213,516,000","171,548,000","395,055,000","32,334,000","22,167,000","93,663,000","103,111,000","76,358,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"3,168,345,000","686,981,000","396,448,000","783,481,000","1,118,983,000","220,125,000","46,990,000","164,945,000","152,247,000","71,934,000","141,028,000","156,236,000"
EBITDA,"-1,298,152,000","2,210,368,000","1,678,430,000","2,040,636,000","-15,743,000","-268,683,000","349,301,000","117,418,000","312,197,000","1,565,033,000","2,072,521,000","2,189,269,000"
EBIT,"-2,444,183,000","640,002,000","565,117,000","1,132,591,000","-893,818,000","-909,083,000","-181,435,000","-304,907,000","-222,059,000","1,013,954,000","1,589,469,000","1,790,958,000"
EBT,"-2,492,990,000","616,908,000","476,315,000","769,888,000","-1,676,939,000","-1,513,269,000","-708,860,000","-634,750,000","-530,749,000","876,679,000","1,500,133,000","1,745,319,000"
Tax,"-512,991,000","73,757,000","285,307,000","194,731,000","-361,931,000","-30,814,000","-267,402,000","-51,995,000","-75,943,000","304,117,000","541,749,000","639,919,000"
PAT,"-1,979,999,000","543,151,000","191,008,000","575,157,000","-1,315,008,000","-1,482,455,000","-441,458,000","-582,755,000","-454,806,000","572,562,000","958,384,000","1,105,400,000"
EPS,-32.15,1.68,-1.89,8.79,-21.35,-24.07,-7.17,-9.46,-7.39,9.3,15.56,17.95
