Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,483.60,0.00,0.00,0.00,0.00,0.00,0.00,26.89,25.70,50.14
Plow Back,100.00,100.00,-383.60,100.00,100.00,100.00,100.00,100.00,100.00,73.11,74.30,49.86
Return on Equity,-1059.49,25.30,7.84,18.40,-49.64,-37.16,-8.04,-9.79,-6.93,7.99,14.05,18.44
Return on Assets,-12.10,2.99,1.16,3.19,-6.81,-8.01,-2.66,-4.24,-3.71,4.47,9.05,11.71
Book Value per Share,3.03,34.86,39.58,50.76,43.02,64.77,89.21,96.67,106.58,116.35,110.75,97.34
Earning Per Share,-32.15,1.68,-1.89,8.79,-21.35,-24.07,-7.17,-9.46,-7.39,9.30,15.56,17.95
Net Working Capital to Total Asseets,0.20,0.25,0.27,0.24,-0.33,-0.22,-0.11,0.04,0.23,0.29,0.31,0.32
Current Ratio,1.60,1.82,2.24,1.96,0.62,0.73,0.83,1.07,1.51,1.72,1.98,1.99
Acid Test,0.45,0.73,0.40,0.24,0.08,0.14,0.11,0.12,0.20,0.16,0.15,0.17
Times Interest Earned,-50.08,27.71,6.36,3.12,-1.14,-1.50,-0.34,-0.92,-0.72,7.39,17.79,39.24
Total Debt Ratio,0.35,0.31,0.21,0.25,0.86,0.78,0.67,0.57,0.46,0.44,0.36,0.37
Debt To Equity,0.54,0.44,0.27,0.33,6.29,3.64,2.02,1.31,0.87,0.79,0.55,0.57
Return on Capital Employed,-0.23,0.05,0.04,0.08,-0.34,-0.23,-0.03,-0.05,-0.03,0.13,0.22,0.28
Average Collection Period,0.00,0.00,0.95,0.04,2.43,5.97,0.03,5.26,6.11,4.51,1.79,1.17
Days sales Inventory,251.47,216.21,264.60,340.94,342.03,316.88,290.96,275.90,275.40,328.73,268.39,291.39
Total Assets Turnover,0.82,0.89,0.85,0.79,0.75,0.74,0.83,0.99,1.03,1.04,1.27,1.20
Gross Profit Margin,31.42,37.19,36.36,42.36,33.68,28.42,26.72,28.10,24.84,32.67,37.08,38.21
Net Profit Margin,-14.85,3.35,1.37,4.05,-9.12,-10.77,-3.22,-4.30,-3.61,4.30,7.15,9.79
