Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"2,038,707,000","1,938,270,000","2,001,907,000","1,978,161,000","1,992,053,000","2,102,085,000","1,642,894,000","1,535,411,000","1,527,195,000","1,408,252,000","1,436,371,000","1,149,157,000"
Investments,"44,457,162,000","35,058,891,000","35,787,452,000","35,429,415,000","34,748,252,000","27,009,970,000","28,618,208,000","30,999,937,000","26,481,473,000","20,693,212,000","3,762,820,000","7,659,041,000"
Cash in Hand and Bank,"2,468,190,000","2,880,729,000","2,639,415,000","2,708,281,000","1,994,632,000","2,808,371,000","1,842,531,000","1,778,997,000","1,740,027,000","2,098,976,000","1,307,961,000","2,217,680,000"
Stores and Spares,"10,447,000","11,690,000","12,845,000","10,563,000","11,834,000","13,148,000","11,402,000","100,381,000","16,807,000","20,499,000","22,788,000","22,622,000"
Stock in Trade,0,0,0,0,0,0,0,0,0,0,0,0
Trade Debts,"1,359,755,000","437,974,000","344,864,000","490,228,000","455,371,000","1,821,692,000","1,987,993,000","771,219,000","189,732,000","272,125,000","193,195,000","369,276,000"
Current Assets,"9,693,058,000","9,317,055,000","10,390,447,000","10,060,178,000","8,621,975,000","11,378,044,000","7,383,084,000","5,117,827,000","3,859,841,000","3,309,308,000","2,826,872,000","8,070,341,000"
Quick Assets,"9,682,611,000","9,305,365,000","10,377,602,000","10,049,615,000","8,610,141,000","11,364,896,000","7,371,682,000","5,017,446,000","3,843,034,000","3,288,809,000","2,804,084,000","8,047,719,000"
Total Assets,"52,349,025,000","51,836,802,000","44,179,809,000","43,397,270,000","41,532,485,000","40,587,826,000","35,440,141,000","33,041,718,000","30,477,233,000","29,613,134,000","18,521,319,000","16,799,979,000"
Interest Bearing Long Term Liability,"6,119,356,000","7,335,925,000","1,744,186,000","2,944,191,000","4,141,525,000","5,748,035,000","4,568,861,000","5,873,286,000","5,878,870,000","6,941,694,000",0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,"11,349,000",0,0,0
Interest Bearing Short Term Liability,"1,341,288,000","1,747,543,000","1,210,172,000","1,210,172,000","1,210,172,000","1,702,054,000","1,316,882,000","1,316,882,000","1,079,763,000","1,079,763,000",0,0
* Non Interest Bearing Short Term Liability,"33,057,359,000","29,894,876,000","28,203,853,000","27,458,719,000","26,434,865,000","22,890,910,000","20,501,909,000","17,532,672,000","15,698,442,000","13,666,789,000","10,904,729,000","9,387,358,000"
Trades Payables,"33,033,542,000","29,841,365,000","28,177,812,000","27,423,137,000","26,388,273,000","22,808,212,000","20,423,394,000","17,441,585,000","15,592,479,000","13,531,891,000","10,904,729,000","9,387,358,000"
Total Current Liabilities,"34,638,027,000","31,870,472,000","29,504,155,000","28,688,923,000","27,668,115,000","24,640,335,000","21,850,764,000","18,871,892,000","16,798,316,000","14,802,251,000","11,096,488,000","9,763,834,000"
Total Liabilities,"41,520,903,000","39,917,656,000","31,849,274,000","32,225,470,000","32,422,407,000","31,239,931,000","27,037,108,000","25,311,752,000","23,272,236,000","22,064,340,000","11,387,776,000","9,983,728,000"
Paid Up Capital,"1,320,634,000","1,320,634,000","1,320,634,000","1,320,634,000","1,320,634,000","1,320,634,000","1,320,634,000","1,320,634,000","1,320,634,000","1,320,634,000","1,320,634,000","1,320,634,000"
Reserves,"8,276,295,000","9,363,611,000","9,767,740,000","8,710,641,000","6,630,443,000","6,898,954,000","6,314,151,000","5,633,268,000","5,107,078,000","5,565,343,000","5,140,981,000","4,814,590,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,231,193,000","1,234,901,000","1,242,161,000","1,140,525,000","1,159,001,000","1,128,307,000","768,248,000","776,064,000","777,285,000","662,817,000","671,928,000","681,027,000"
Shareholder Equity,"10,828,122,000","11,919,146,000","12,330,535,000","11,171,800,000","9,110,078,000","9,347,895,000","8,403,033,000","7,729,966,000","7,204,997,000","7,548,794,000","7,133,543,000","6,816,251,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"132,063,400","132,063,400","132,063,400","132,063,380","132,063,380","132,063,380","132,063,379","132,063,380","132,063,380","132,063,380","132,063,380","132,063,380"
