Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"1,953,042,000","3,230,026,000","4,560,756,000","7,570,799,000","5,806,588,000","8,896,385,000","8,727,685,000","5,962,892,000","2,777,932,000","3,084,361,000","2,077,947,000","3,491,783,000"
COGS,"1,752,593,000","2,700,764,000","3,211,781,000","4,635,561,000","4,635,218,000","7,350,551,000","7,051,185,000","4,228,202,000","1,845,685,000","1,945,834,000","1,351,580,000","1,932,155,000"
Gross Profit,"200,449,000","529,262,000","1,348,975,000","2,935,238,000","1,171,370,000","1,545,834,000","1,676,500,000","1,734,690,000","932,247,000","1,138,527,000","726,367,000","1,559,628,000"
Administrative Expenses,"165,663,000","290,806,000","344,481,000","431,586,000","397,534,000","529,187,000","390,493,000","278,430,000","116,749,000","126,118,000","186,338,000","490,801,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"1,129,661,000","445,490,000","247,210,000","328,107,000","555,028,000","667,235,000","546,681,000","711,933,000","1,069,279,000","261,994,000","19,161,000","48,446,000"
Other Income,"887,965,000","1,196,025,000","1,361,101,000","1,860,251,000","958,414,000","1,914,465,000","576,611,000","530,695,000","505,073,000","317,110,000","834,377,000","824,149,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"545,726,000","429,382,000","641,627,000","1,174,959,000","1,141,263,000","1,311,099,000","296,226,000","201,157,000","492,924,000","166,967,000","216,283,000","146,228,000"
EBITDA,"445,832,000","1,058,411,000","1,791,867,000","3,250,929,000","647,612,000","1,663,992,000","1,613,505,000","1,834,384,000","933,236,000","1,254,255,000","1,196,750,000","1,789,964,000"
EBIT,"377,025,000","1,005,099,000","1,723,968,000","3,188,944,000","590,987,000","1,620,013,000","1,566,392,000","1,785,798,000","827,647,000","1,162,552,000","1,158,123,000","1,746,748,000"
EBT,"-752,636,000","559,609,000","1,476,758,000","2,860,837,000","35,959,000","952,778,000","1,019,711,000","1,073,865,000","-241,632,000","900,558,000","1,138,962,000","1,698,302,000"
Tax,"88,206,000","205,585,000","173,119,000","585,426,000","152,706,000","60,005,000","216,435,000","414,308,000","-77,085,000","288,157,000","427,429,000","641,539,000"
PAT,"-840,842,000","354,024,000","1,303,639,000","2,275,411,000","-116,747,000","892,773,000","803,276,000","659,557,000","-164,547,000","612,401,000","711,533,000","1,056,763,000"
EPS,0,2.68,9.87,17.23,-0.88,6.76,6.08,4.99,-1.25,4.64,5.39,8
