Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"22,671,530,000","19,605,177,000","24,592,961,000","25,111,744,000","10,421,400,000","10,488,713,000","9,306,101,000","10,779,764,000","7,046,836,000","9,068,490,000","6,800,305,000","7,506,778,000","3,923,660,000"
Investments,"15,983,343,000","10,429,081,000","9,622,082,000","9,621,858,000","9,621,578,000","9,621,329,000","9,621,088,000","9,620,666,000","14,173,182,000","12,911,830,000","12,031,033,000","9,743,811,000","10,214,926,000"
Cash in Hand and Bank,"36,680,607,000","35,761,440,000","21,532,841,000","14,181,528,000","10,763,801,000","10,613,993,000","10,826,321,000","7,249,032,000","8,733,403,000","6,705,098,000","4,040,356,000","3,945,680,000","7,424,725,000"
Stores and Spares,"4,497,755,000","3,917,736,000","3,571,970,000","3,897,472,000","4,236,485,000","4,276,065,000","3,663,109,000","3,524,800,000","2,939,308,000","2,632,488,000","2,641,060,000","2,793,760,000","2,298,593,000"
Stock in Trade,"399,205,000","297,331,000","292,981,000","221,893,000","375,521,000","147,929,000","264,170,000","151,345,000","134,199,000","126,411,000","87,533,000","89,371,000","57,611,000"
Trade Debts,"7,633,883,000","8,908,128,000","8,242,487,000","3,292,966,000","3,335,961,000","3,476,993,000","5,093,725,000","4,871,092,000","3,006,567,000","4,343,528,000","2,583,641,000","1,826,472,000","1,800,233,000"
Current Assets,"30,440,941,000","52,242,772,000","35,936,668,000","22,900,340,000","20,175,700,000","20,244,898,000","21,098,466,000","16,612,532,000","19,314,350,000","17,696,954,000","12,279,141,000","9,799,310,000","12,360,168,000"
Quick Assets,"25,543,981,000","48,027,705,000","32,071,717,000","18,780,975,000","15,563,694,000","15,820,904,000","17,171,187,000","12,936,387,000","16,240,843,000","14,938,055,000","9,550,548,000","6,916,179,000","10,003,964,000"
Total Assets,"91,595,925,000","81,489,825,000","70,166,783,000","57,651,581,000","55,717,256,000","55,444,320,000","57,869,313,000","53,638,921,000","52,339,525,000","47,039,205,000","39,322,239,000","34,724,598,000","32,867,988,000"
Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,"861,129,000","844,756,000","837,325,000","846,958,000","831,115,000","724,863,000","638,295,000","517,861,000","16,273,000","487,314,000","466,963,000","456,653,000",0
Interest Bearing Short Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"23,409,306,000","19,329,256,000","15,967,452,000","5,903,348,000","5,550,547,000","4,876,036,000","5,781,653,000","6,292,407,000","4,465,713,000","4,045,039,000","2,287,213,000","2,292,210,000","2,226,699,000"
Trades Payables,"23,409,306,000","19,329,256,000","15,967,452,000","5,903,348,000","5,550,547,000","4,876,036,000","5,781,653,000","6,292,407,000","4,465,713,000","4,045,039,000","2,287,213,000","2,292,210,000","2,226,699,000"
Total Current Liabilities,"30,440,941,000","25,516,672,000","20,917,442,000","10,307,293,000","9,095,768,000","8,536,276,000","8,334,122,000","7,938,495,000","6,059,386,000","5,418,701,000","3,332,266,000","2,768,914,000","2,930,181,000"
Total Liabilities,"51,329,055,000","43,418,828,000","37,398,044,000","26,153,653,000","25,563,525,000","23,079,802,000","22,673,309,000","20,690,718,000","17,068,283,000","13,616,117,000","10,197,493,000","8,790,156,000","7,498,072,000"
Paid Up Capital,"2,838,551,000","2,838,551,000","2,365,459,000","2,365,459,000","2,365,459,000","2,365,459,000","2,365,459,000","2,365,459,000","2,365,459,000","2,365,459,000","2,365,459,000","2,365,459,000","1,971,216,000"
Reserves,"37,428,319,000","35,232,446,000","30,401,053,000","29,130,466,000","27,788,272,000","29,997,000,000","32,828,727,000","30,582,744,000","32,905,783,000","31,048,217,000","26,738,220,000","23,568,983,000","23,398,700,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,"2,227,000","2,003,000",0,"2,059,000","1,818,000",0,0,"9,412,000","21,067,000",0,0
Shareholder Equity,"40,266,870,000","38,070,997,000","32,768,739,000","31,497,928,000","30,153,731,000","32,364,518,000","35,196,004,000","32,948,203,000","35,271,242,000","33,423,088,000","29,124,746,000","25,934,442,000","25,369,916,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"283,855,100","283,855,100","236,545,900","236,545,920","236,545,920","236,545,920","236,545,920","236,545,920","236,545,920","236,545,920","236,545,920","236,545,920","197,121,600"
