Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"38,195,804,000","43,977,307,000","32,664,982,000","27,280,449,000","24,848,218,000","30,881,116,000","35,539,701,000","28,878,137,000","28,624,055,000","24,950,707,000","17,844,607,000","14,046,820,000","16,739,461,000"
COGS,"17,232,916,000","20,616,341,000","18,519,424,000","14,677,098,000","13,605,420,000","14,613,897,000","16,529,726,000","12,616,414,000","11,117,627,000","9,322,980,000","6,958,171,000","5,754,495,000","6,156,124,000"
Gross Profit,"20,962,888,000","23,360,966,000","14,145,558,000","12,603,351,000","11,242,798,000","16,267,219,000","19,009,975,000","16,261,723,000","17,506,428,000","15,627,727,000","10,886,436,000","8,292,325,000","10,583,337,000"
Administrative Expenses,"192,321,000","181,253,000","169,569,000","109,012,000","139,534,000","139,569,000","122,148,000","93,211,000","113,339,000","83,101,000","73,326,000","46,852,000","52,559,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"2,211,617,000","3,773,626,000","1,919,008,000","746,365,000","1,021,946,000","986,928,000","653,930,000","830,372,000","684,576,000","223,930,000","283,746,000","512,412,000","389,054,000"
Other Income,"4,558,413,000","7,176,600,000","3,262,471,000","1,473,230,000","1,411,080,000","1,563,154,000","1,823,130,000","1,953,965,000","2,547,207,000","1,808,596,000","1,376,950,000","2,041,869,000","2,949,686,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"1,382,967,000","1,727,994,000","966,703,000","808,911,000","2,612,449,000","5,214,383,000","2,850,218,000","2,741,379,000","1,880,142,000","2,179,282,000","2,315,548,000","2,590,112,000","1,670,699,000"
EBITDA,"28,063,603,000","33,550,583,000","20,816,439,000","17,546,663,000","11,325,717,000","16,671,611,000","18,804,512,000","18,112,731,000","20,501,135,000","15,778,556,000","10,481,703,000","8,902,488,000","13,252,414,000"
EBIT,"23,946,013,000","28,628,319,000","16,271,757,000","13,158,658,000","9,901,895,000","12,476,421,000","17,860,739,000","15,381,098,000","18,060,154,000","15,173,940,000","9,874,512,000","7,697,230,000","11,809,765,000"
EBT,"21,734,396,000","24,854,693,000","14,352,749,000","12,412,293,000","8,879,949,000","11,489,493,000","17,206,809,000","14,550,726,000","17,375,578,000","14,950,010,000","9,590,766,000","7,184,818,000","11,420,711,000"
Tax,"5,358,546,000","7,982,986,000","2,968,815,000","2,733,787,000","1,646,134,000","3,030,618,000","4,319,415,000","3,722,372,000","5,522,783,000","4,135,000,000","2,154,000,000","1,566,531,000","2,804,217,000"
PAT,"16,375,850,000","16,871,707,000","11,383,934,000","9,678,506,000","7,233,815,000","8,458,875,000","12,887,394,000","10,828,354,000","11,852,795,000","10,815,010,000","7,436,766,000","5,618,287,000","8,616,494,000"
EPS,57.69,59.44,48.13,40.92,30.58,35.76,54.48,45.78,50.11,45.72,31.44,23.75,36.43
