Year,2020,2019,2018,2017,2016,2015,2014,2013
Fixed Assets,"657,757,460","674,095,650","644,451,088","654,904,327","417,943,280","387,008,216","380,269,303","393,416,290"
Investments,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"32,960,061","21,040,393","34,019,993","49,957,631","166,704,058","138,908,456","36,785,772","41,292,196"
Stores and Spares,"113,790,475","129,813,682","117,742,127","122,374,844","84,111,350","77,166,230","46,530,340","51,368,863"
Stock in Trade,"404,004,070","329,388,854","332,410,002","301,118,698","274,620,950","268,726,889","127,316,215","165,914,877"
Trade Debts,"815,614,848","702,282,920","639,667,499","674,446,289","556,211,362","492,287,692","588,806,686","427,435,619"
Current Assets,"1,715,099,793","1,481,133,521","1,375,489,892","1,375,741,612","1,292,418,851","1,157,568,762","969,707,270","814,982,248"
Quick Assets,"1,197,305,248","1,021,930,985","925,337,763","952,248,070","933,686,551","811,675,643","795,860,715","597,698,508"
Total Assets,"2,417,174,400","2,198,619,258","2,046,328,480","2,051,033,439","1,726,249,631","1,554,464,478","1,359,039,073","1,219,491,874"
Interest Bearing Long Term Liability,"20,322,143",0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"180,872,617","123,944,702","86,314,308","94,451,275","23,466,586","15,305,938",0,"452,790"
* Non Interest Bearing Short Term Liability,"544,724,792","484,678,408","471,011,636","506,774,737","509,335,192","528,121,285","530,227,540","486,088,439"
Trades Payables,"542,222,384","483,392,506","470,685,311","506,591,996","509,329,431","528,116,107","530,227,540","485,981,730"
Total Current Liabilities,"985,311,696","856,306,600","793,643,904","822,222,804","764,520,505","733,263,525","698,221,198","622,938,678"
Total Liabilities,"1,128,028,520","956,126,339","886,682,196","908,923,197","834,838,528","796,759,952","759,591,421","676,951,925"
Paid Up Capital,"53,906,520","53,906,520","53,906,520","53,906,520","53,906,520","53,906,520","53,906,520","53,906,520"
Reserves,"872,445,893","798,077,500","706,937,839","679,389,879","600,692,985","458,721,843","290,757,577","227,141,378"
Preferred Equity,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"362,793,467","390,508,899","398,801,925","408,813,843","236,811,598","245,076,163","254,783,555","261,492,051"
Shareholder Equity,"1,289,145,880","1,242,492,919","1,159,646,284","1,142,110,242","891,411,103","757,704,526","599,447,652","542,539,949"
Paid Up Value,10,10,10,10,10,10,10,10
Number of Shares,"5,390,652","5,390,652","5,390,652","5,390,652","5,390,652","5,390,652","5,390,652","5,390,652"
