Year,2020,2019,2018,2017,2016,2015,2014,2013
Payout,0.00,37.65,52.23,37.49,34.05,34.19,22.59,21.38
Plow Back,100.00,62.35,47.77,62.51,65.95,65.81,77.41,78.62
Return on Equity,6.53,8.64,5.96,12.59,23.09,24.97,13.94,11.62
Return on Assets,3.48,4.88,3.38,7.01,11.92,12.17,6.15,5.17
Book Value per Share,239.14,230.49,215.12,211.87,165.36,140.56,111.20,100.64
Earning Per Share,15.62,19.92,12.83,26.67,38.18,35.10,15.50,11.69
Net Working Capital to Total Asseets,0.30,0.28,0.28,0.27,0.31,0.27,0.20,0.16
Current Ratio,1.74,1.73,1.73,1.67,1.69,1.58,1.39,1.31
Acid Test,1.22,1.19,1.17,1.16,1.22,1.11,1.14,0.96
Times Interest Earned,10.54,15.32,22.31,72.87,119.08,135.81,58.18,38.77
Total Debt Ratio,0.47,0.43,0.43,0.44,0.48,0.51,0.56,0.56
Debt To Equity,0.88,0.77,0.76,0.80,0.94,1.05,1.27,1.25
Return on Capital Employed,0.16,0.18,0.15,0.17,0.34,0.35,0.28,0.28
Average Collection Period,56.51,46.57,47.16,55.43,48.22,42.27,45.03,34.47
Days sales Inventory,42.19,35.69,39.02,41.26,38.40,35.27,14.86,19.25
Total Assets Turnover,2.18,2.50,2.42,2.17,2.44,2.73,3.51,3.71
Gross Profit Margin,14.98,14.68,14.94,15.65,19.02,15.79,10.53,8.96
Net Profit Margin,1.60,1.95,1.40,3.24,4.89,4.45,1.75,1.39
