Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2009,2008,2007,2006,2005,2004,2003
Fixed Assets,"37,270,746,000","32,942,295,000","19,843,344,000","5,248,476,000","4,444,992,000","4,423,374,000","4,402,670,000","4,250,180,000","4,226,616,000","4,354,980,000","4,236,771,000","3,866,800,000","3,197,900,000","1,505,800,000","1,445,500,000","1,491,000,000"
Investments,"42,976,000","41,999,000","97,124,000","13,220,000",0,0,0,0,0,0,0,"21,900,000","22,500,000","7,400,000","4,100,000","4,100,000"
Cash in Hand and Bank,"339,436,000","624,641,000","1,121,591,000","3,808,819,000","14,983,000","47,267,000","5,476,000","4,052,000","3,594,000","12,421,000","9,366,000","2,400,000","118,100,000","14,100,000","1,200,000","9,000,000"
Stores and Spares,"1,413,852,000","931,858,000","1,067,082,000","999,837,000","693,578,000","562,409,000","642,543,000","496,839,000","516,210,000","429,307,000","324,218,000",0,0,0,0,0
Stock in Trade,"737,152,000","603,185,000","301,909,000","224,731,000","165,221,000","284,975,000","177,302,000","324,979,000","219,062,000","472,276,000","243,339,000","389,801,000","396,700,000","294,400,000","219,900,000","189,000,000"
Trade Debts,"418,745,000","386,499,000","456,212,000","331,301,000","271,667,000","259,722,000","143,038,000","138,445,000","44,010,000","42,008,000","297,892,000","17,999,000","49,800,000","16,600,000","3,100,000","3,700,000"
Current Assets,"7,126,065,000","6,619,082,000","4,640,126,000","6,096,806,000","1,769,369,000","1,545,200,000","1,363,510,000","1,349,329,000","936,826,000","1,355,532,000","1,008,256,000","554,100,000","598,400,000","369,400,000","248,200,000","234,000,000"
Quick Assets,"4,975,061,000","5,084,039,000","3,271,135,000","4,872,238,000","910,570,000","697,816,000","543,665,000","527,511,000","201,554,000","453,949,000","440,699,000","164,299,000","201,700,000","75,000,000","28,300,000","45,000,000"
Total Assets,"45,194,965,000","40,008,403,000","24,517,306,000","11,387,114,000","6,242,978,000","5,988,209,000","5,785,815,000","5,619,144,000","5,183,077,000","5,923,911,000","5,273,875,000","4,443,000,000","3,819,100,000","1,882,600,000","1,697,800,000","1,729,100,000"
Interest Bearing Long Term Liability,"16,357,206,000","17,959,094,000","9,460,000,000","110,000,000","360,000,000","905,397,000","923,805,000","1,867,062,000","1,674,780,000","2,506,350,000","2,512,286,000","1,730,600,000","1,889,700,000","590,800,000","557,700,000","612,100,000"
Non Interest Bearing Long Term Liability,0,0,0,"735,000","908,892,000","1,169,055,000","1,172,990,000",0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"11,898,600,000","5,080,439,000","1,142,890,000","1,357,669,000","708,750,000","1,182,405,000","1,250,134,000","1,258,119,000","1,355,378,000","495,422,000","209,212,000","217,300,000","40,500,000","95,500,000","12,000,000",0
* Non Interest Bearing Short Term Liability,"7,608,629,000","4,689,281,000","2,095,043,000","795,696,000","728,489,000","623,674,000","948,460,000","873,146,000","885,658,000","719,594,000","688,258,000","474,267,000","314,000,000","211,100,000","66,100,000","182,000,000"
Trades Payables,"5,830,748,000","3,534,574,000","1,844,801,000","784,482,000","723,160,000","608,019,000","935,441,000","857,898,000","839,656,000","719,594,000","688,258,000","436,467,000","275,000,000","211,100,000","65,700,000","87,000,000"
Total Current Liabilities,"19,507,355,000","9,769,846,000","3,238,059,000","2,381,223,000","1,945,128,000","1,806,814,000","2,199,329,000","2,132,000,000","2,241,036,000","1,454,512,000","924,043,000","1,086,300,000","491,300,000","495,100,000","531,900,000","530,300,000"
Total Liabilities,"35,966,571,000","27,786,863,000","13,218,244,000","2,992,873,000","3,894,868,000","4,126,039,000","4,357,273,000","4,123,773,000","4,057,667,000","4,206,475,000","3,678,252,000","3,061,900,000","2,658,900,000","1,501,100,000","1,229,300,000","1,162,400,000"
Paid Up Capital,"10,634,144,000","10,634,144,000","10,634,144,000","3,656,900,000","3,656,900,000","3,656,900,000","3,656,900,000","3,656,900,000","3,656,900,000","1,828,450,000","1,828,450,000","1,505,700,000","1,142,800,000","381,700,000","380,900,000","380,900,000"
Reserves,"-1,405,750,000","1,587,396,000","664,918,000","4,737,341,000","-1,308,790,000","-1,794,730,000","-2,228,358,000","-2,161,529,000","-2,531,490,000","-111,014,000","-232,827,000","-124,600,000","17,400,000","-200,000","87,600,000","185,800,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"9,228,394,000","12,221,540,000","11,299,062,000","8,394,241,000","2,348,110,000","1,862,170,000","1,428,542,000","1,495,371,000","1,125,410,000","1,717,436,000","1,595,623,000","1,381,100,000","1,160,200,000","381,500,000","468,500,000","566,700,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"1,063,414,400","1,063,414,400","1,063,414,400","365,689,968","365,689,968","365,689,968","365,689,968","365,689,968","365,689,968","182,844,984","182,844,984","150,570,000","114,280,000","38,170,000","38,090,000","38,090,000"
