Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2009,2008,2007,2006,2005,2004,2003
Sales,"4,132,362,000","3,858,455,000","4,343,240,000","4,480,623,000","4,144,455,000","3,831,069,000","3,496,103,000","3,511,774,000","2,930,152,000","2,982,686,000","1,162,403,000","206,421,000","913,511,000","593,500,000","769,700,000","581,600,000"
COGS,"4,229,520,000","3,701,175,000","3,668,172,000","3,500,092,000","3,197,480,000","2,859,929,000","3,151,266,000","2,789,256,000","2,633,210,000","2,282,298,000","1,047,160,000","335,641,000","891,606,000","632,400,000","711,300,000","553,600,000"
Gross Profit,"-97,158,000","157,280,000","675,068,000","980,531,000","946,975,000","971,140,000","344,837,000","722,518,000","296,942,000","700,388,000","115,243,000","-129,220,000","21,905,000","-38,900,000","58,400,000","28,000,000"
Administrative Expenses,"190,279,000","142,709,000","131,708,000","76,366,000","59,528,000","58,981,000","68,882,000","54,868,000","33,516,000","30,592,000","27,432,000","28,708,000","18,600,000","18,200,000","11,000,000","12,200,000"
Selling & Distributive Expenses,"445,544,000","122,443,000","115,806,000","106,154,000","106,504,000","181,597,000","260,489,000","137,999,000","103,400,000","390,619,000","128,993,000",0,0,0,0,0
Financial Charges,"2,991,017,000","177,066,000","121,601,000","248,273,000","282,880,000","361,022,000","377,328,000","382,966,000","401,930,000","351,206,000","88,330,000","16,735,000","73,356,000","32,500,000","20,500,000","28,500,000"
Other Income,"89,896,000","21,572,000","114,035,000","11,313,000","336,813,000","311,244,000","239,599,000","319,999,000","534,576,000","30,056,000","582,000","5,890,000","-4,900,000","17,000,000","-1,200,000","17,100,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"325,382,000","149,030,000","71,210,000","-4,124,000","70,104,000","64,779,000","18,008,000","32,201,000",0,0,0,0,0,0,0,0
EBITDA,"-830,072,000","-84,142,000","628,072,000","935,534,000","1,156,482,000","1,084,985,000","336,180,000","926,411,000","793,792,000","414,617,000","27,655,000","-82,338,000","59,505,000","20,900,000","109,400,000","32,900,000"
EBIT,"-968,467,000","-235,330,000","470,379,000","813,448,000","1,047,652,000","977,027,000","237,057,000","817,449,000","694,602,000","309,233,000","-40,600,000","-152,038,000","-1,595,000","-40,100,000","46,200,000","32,900,000"
EBT,"-3,959,484,000","-412,396,000","348,778,000","565,175,000","764,772,000","616,005,000","-140,271,000","434,483,000","292,672,000","-41,973,000","-128,930,000","-168,773,000","-74,951,000","-72,600,000","25,700,000","4,400,000"
Tax,"-343,032,000","-994,502,000","28,871,000","98,382,000","278,381,000","182,172,000","-66,362,000","64,522,000","139,241,000","-163,786,000","-20,667,000","-26,781,000","-92,624,000","9,700,000","123,800,000","2,900,000"
PAT,"-3,616,452,000","582,106,000","319,907,000","466,793,000","486,391,000","433,833,000","-73,909,000","369,961,000","153,431,000","121,813,000","-108,263,000","-141,992,000","17,673,000","-82,300,000","-98,100,000","1,500,000"
EPS,-3.4,0.55,0.32,1.14,1.33,1.19,-0.2,1.01,0.42,0.67,-0.59,0,0,0,0,0
