Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"824,265,465","783,358,992","493,973,561","509,842,544","416,287,709","455,469,923","395,181,518","308,739,943","322,414,873","260,995,514","224,689,648","213,278,073","212,030,121"
Investments,0,0,0,0,0,0,"25,270,431",0,0,"20,195,698",0,0,0
Cash in Hand and Bank,"4,410,201","5,711,972","5,510,348","10,175,411","38,833,698","8,322,286","13,826,551","29,724,398","4,368,369","9,851,772","5,906,182","12,404,102","16,538,211"
Stores and Spares,"6,732,240","3,668,989","4,810,216","2,598,548","3,405,040","2,013,765","2,855,897","2,029,334","3,041,446","2,149,959","1,804,308","1,012,809","1,491,207"
Stock in Trade,"229,815,701","171,695,959","155,678,985","131,056,625","117,498,197","102,899,617","93,159,334","81,736,791","111,711,165","82,117,510","79,329,441","65,328,962","74,972,870"
Trade Debts,"214,588,467","173,476,656","128,328,607","118,248,761","108,125,822","101,363,918","82,972,581","70,345,979","60,659,864","39,730,779","44,686,929","43,614,947","37,123,854"
Current Assets,"551,132,669","449,907,932","375,782,571","333,044,392","306,225,497","267,768,478","242,063,870","213,190,938","213,018,695","179,639,658","155,666,545","136,569,583","136,853,143"
Quick Assets,"314,584,728","274,542,984","215,293,370","199,389,219","185,322,260","162,855,096","146,048,639","129,424,813","98,266,084","95,372,189","74,532,796","70,227,812","60,389,066"
Total Assets,"1,376,352,142","1,234,180,796","870,670,004","843,795,168","723,186,260","723,766,241","637,770,478","522,455,971","535,907,258","440,856,044","380,573,465","352,434,330","351,469,938"
Interest Bearing Long Term Liability,"25,322,409","27,850,700","53,088,500",0,"32,121,000",0,"18,573,588","28,704,636","41,411,684","10,300,000",0,"7,556,903","12,993,909"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"115,615,885","99,591,543","63,200,026","25,493,890","20,112,981","33,569,547","10,131,048","15,141,800","18,270,340","10,219,402","11,154,239","5,250,999","4,274,904"
* Non Interest Bearing Short Term Liability,"220,146,556","95,789,029","58,159,499","84,315,189","60,988,695","45,505,300","50,536,891","44,108,266","61,903,257","40,580,961","30,093,087","28,500,978","45,549,179"
Trades Payables,"220,146,556","95,789,029","58,159,499","84,315,189","60,988,695","45,505,300","50,536,891","44,108,266","61,903,257","40,580,961","30,093,087","12,514,537","14,125,677"
Total Current Liabilities,"343,256,825","202,635,071","128,055,261","109,809,079","81,101,676","79,074,847","60,667,939","59,250,066","80,173,597","50,800,363","41,247,326","33,751,977","49,824,083"
Total Liabilities,"421,302,146","286,922,879","236,401,071","243,348,084","162,826,576","182,512,200","128,448,111","119,513,687","153,760,257","80,092,447","51,310,955","51,701,412","72,099,136"
Paid Up Capital,"80,000,000","80,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","50,000,000","50,000,000","37,500,000","37,500,000","25,000,000"
Reserves,"360,912,179","348,808,563","361,792,988","327,481,490","284,545,944","262,820,519","226,649,431","197,057,009","184,799,880","162,652,646","142,664,624","113,567,312","104,050,118"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"514,137,817","518,449,354","212,475,945","212,965,594","215,813,740","218,433,522","222,672,936","145,885,275","147,347,121","148,110,951","149,097,886","149,665,606","150,320,684"
Shareholder Equity,"955,049,996","947,257,917","634,268,933","600,447,084","560,359,684","541,254,041","509,322,367","402,942,284","382,147,001","360,763,597","329,262,510","300,732,918","279,370,802"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"8,000,000","8,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","5,000,000","3,750,000","3,750,000","2,500,000"
