Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"913,309,572","875,439,005","788,228,800","659,935,217","613,672,467","576,333,215","504,312,854","501,239,170","433,308,497","382,683,381","322,025,790","312,028,927","220,656,686"
COGS,"816,398,294","776,168,009","658,509,450","535,264,235","488,329,974","459,421,923","394,236,310","404,503,002","333,298,245","287,852,512","244,034,659","241,231,921","162,105,200"
Gross Profit,"96,911,278","99,270,996","129,719,350","124,670,982","125,342,493","116,911,292","110,076,544","96,736,168","100,010,252","94,830,869","77,991,131","70,797,006","58,551,486"
Administrative Expenses,"35,926,884","33,438,918","30,692,732","28,014,279","32,948,298","23,257,134","20,435,582","17,733,452","17,780,471","14,430,219","13,343,450","12,279,180","9,848,223"
Selling & Distributive Expenses,"15,076,312","13,184,154","14,920,098","13,161,462","11,959,056","10,633,115","9,216,840","8,766,506","8,417,843","8,613,677","6,826,119","6,937,603","5,164,765"
Financial Charges,"22,825,349","27,016,141","15,225,844","5,803,628","7,255,421","4,029,896","4,271,256","7,326,454","5,507,302","5,221,802","2,632,203","3,048,049","2,509,569"
Other Income,"159,926","276,818","368,657","781,858","-5,322,715","1,356,654","1,264,091","1,694,428","945,729","593,909","652,759","993,293","1,415,610"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"1,626,986","1,940,162","4,790,343","5,414,670","5,284,672","6,893,156","4,012,755","4,580,643","4,706,403","4,604,875","3,821,121","3,245,140","3,004,916"
EBITDA,"76,400,688","83,057,545","113,082,840","107,713,916","96,050,520","100,184,233","96,299,544","85,687,276","83,786,078","78,592,708","62,637,076","57,124,776","50,071,415"
EBIT,"44,441,022","50,984,580","79,684,834","78,862,429","69,827,752","77,484,541","77,675,458","67,349,995","70,051,264","67,776,007","54,653,200","49,328,376","41,949,192"
EBT,"21,615,673","23,968,439","64,458,990","73,058,801","62,572,331","73,454,645","73,404,202","60,023,541","64,543,962","62,554,205","52,020,997","46,280,327","39,439,623"
Tax,"6,045,309","5,993,673","14,391,388","12,411,687","24,206,645","16,136,191","25,164,812","21,228,258","23,160,558","21,678,118","15,991,405","14,918,211","13,314,777"
PAT,"15,570,364","17,974,766","50,067,602","60,647,114","38,365,686","57,318,454","48,239,390","38,795,283","41,383,404","40,876,087","36,029,592","31,362,116","26,124,846"
EPS,1.95,2.25,8.34,10.11,6.39,9.55,8.04,6.47,6.9,8.18,7.21,8.36,6.97
