Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"21,371,163,000","18,975,232,000","13,444,154,000","12,246,829,000","12,100,255,000","12,118,199,000","7,407,267,000","5,111,367,000","4,461,581,000","4,359,064,000","5,598,868,000","2,336,063,000","975,774,000"
Investments,"65,294,000","62,036,000","71,428,000","84,012,000","85,432,000","91,470,000","89,757,000","85,455,000","77,834,000","70,576,000","66,663,000","57,280,000","58,603,000"
Cash in Hand and Bank,"2,189,707,000","253,889,000","575,214,000","712,186,000","586,791,000","2,814,526,000","2,287,864,000","85,089,000","306,661,000","7,164,000","9,590,000","3,909,833,000","2,646,115,000"
Stores and Spares,"437,635,000","375,125,000","352,359,000","367,937,000","347,029,000","210,495,000","259,626,000","192,374,000","257,868,000","253,888,000","226,353,000","239,794,000","233,425,000"
Stock in Trade,"7,526,757,000","9,072,299,000","7,477,669,000","6,128,132,000","5,089,534,000","5,516,120,000","9,673,473,000","10,978,536,000","7,828,060,000","9,054,172,000","6,810,970,000","8,367,282,000","9,102,109,000"
Trade Debts,"3,667,153,000","13,195,089,000","7,265,482,000","4,470,649,000","5,211,050,000","6,230,785,000","8,587,612,000","10,803,826,000","20,714,181,000","9,979,708,000","16,120,819,000","14,431,063,000","9,465,925,000"
Current Assets,"13,959,688,000","23,796,272,000","16,946,590,000","13,535,125,000","12,301,776,000","18,060,850,000","21,287,658,000","22,161,777,000","29,650,675,000","20,530,314,000","25,163,450,000","29,153,909,000","22,686,853,000"
Quick Assets,"5,995,296,000","14,348,848,000","9,116,562,000","7,039,056,000","6,865,213,000","12,334,235,000","11,354,559,000","10,990,867,000","21,564,747,000","11,222,254,000","18,126,127,000","20,546,833,000","13,351,319,000"
Total Assets,"35,452,348,000","42,880,622,000","30,517,989,000","25,925,206,000","24,777,181,000","30,752,973,000","28,838,891,000","27,412,625,000","34,211,198,000","24,978,767,000","30,859,716,000","32,566,845,000","23,772,076,000"
Interest Bearing Long Term Liability,"4,367,594,000","4,300,000,000","4,700,000,000","1,600,000,000","2,000,000,000","2,000,000,000",0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"12,602,839,000","14,701,779,000","4,619,390,000","5,956,790,000","8,560,762,000","9,106,436,000","8,425,574,000","7,778,795,000","453,019,000","1,705,128,000","3,171,710,000","4,105,936,000",0
* Non Interest Bearing Short Term Liability,"18,036,132,000","19,967,440,000","16,757,444,000","14,043,317,000","11,293,305,000","17,216,895,000","19,269,638,000","16,964,976,000","32,149,195,000","20,678,057,000","25,338,055,000","25,377,179,000","15,982,316,000"
Trades Payables,"18,036,132,000","19,967,440,000","16,757,444,000","13,908,222,000","11,254,006,000","17,007,133,000","19,156,371,000","16,925,840,000","32,129,273,000","20,070,080,000","25,288,917,000","25,377,179,000","15,904,758,000"
Total Current Liabilities,"30,799,362,000","34,690,987,000","21,398,690,000","20,898,627,000","20,348,197,000","26,829,775,000","28,187,797,000","25,904,615,000","33,263,371,000","22,383,185,000","28,509,765,000","30,383,131,000","16,919,051,000"
Total Liabilities,"35,627,201,000","39,371,381,000","26,455,434,000","22,823,924,000","22,609,692,000","28,968,238,000","28,270,154,000","25,944,944,000","33,299,415,000","22,401,850,000","28,510,903,000","30,387,503,000","16,966,171,000"
Paid Up Capital,"3,150,000,000","2,940,000,000","2,940,000,000","2,940,000,000","2,940,000,000","350,000,000","350,000,000","350,000,000","350,000,000","350,000,000","350,000,000","350,000,000","350,000,000"
Reserves,"-14,474,141,000","-8,721,487,000","-2,875,373,000","-3,336,646,000","-4,270,439,000","-1,863,193,000","-3,079,191,000","-2,080,247,000","-2,582,145,000","-917,011,000","-1,145,115,000","1,829,342,000","6,455,905,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"11,149,288,000","9,290,728,000","3,997,928,000","3,497,928,000","3,497,928,000","3,297,928,000","3,297,928,000","3,197,928,000","3,143,928,000","3,143,928,000","3,143,928,000",0,0
Shareholder Equity,"-174,853,000","3,509,241,000","4,062,555,000","3,101,282,000","2,167,489,000","1,784,735,000","568,737,000","1,467,681,000","911,783,000","2,576,917,000","2,348,813,000","2,179,342,000","6,805,905,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"315,000,000","294,000,000","294,000,000","294,000,000","294,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000","35,000,000"
