Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"8,129,718,000","10,138,274,000","10,527,251,000","9,811,986,000","9,151,060,000","7,922,016,000","7,609,885,000","6,801,170,000","5,672,678,000","5,016,601,000","4,238,232,000","4,462,575,000","4,633,937,000"
COGS,"5,438,898,000","6,068,276,000","5,647,370,000","5,427,241,000","4,772,155,000","4,288,554,000","4,251,249,000","3,853,039,000","3,299,775,000","3,018,227,000","2,698,003,000","3,041,307,000","2,972,021,000"
Gross Profit,"2,690,820,000","4,069,998,000","4,879,881,000","4,384,745,000","4,378,905,000","3,633,462,000","3,358,636,000","2,948,131,000","2,372,903,000","1,998,374,000","1,540,229,000","1,421,268,000","1,661,916,000"
Administrative Expenses,"2,901,127,000","3,206,647,000","3,268,064,000","2,663,169,000","2,579,004,000","2,261,625,000","1,963,093,000","1,831,583,000","1,370,759,000","1,165,102,000","1,092,180,000","1,108,996,000","1,024,753,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"1,728,614,000","1,154,494,000","725,513,000","410,915,000","167,753,000","103,073,000","130,639,000","153,988,000","184,741,000","177,058,000","161,173,000","206,513,000","132,234,000"
Other Income,"212,424,000","-54,973,000","786,000","351,105,000","-415,666,000","269,184,000","667,149,000","368,879,000","338,821,000","327,022,000","339,339,000","446,860,000","93,803,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"116,986,000","22,915,000",0,0,0,0,"55,273,000","72,919,000",0,"19,201,000","21,078,000","654,105,000","62,247,000"
EBITDA,"930,502,000","1,659,440,000","2,259,582,000","2,579,895,000","1,893,286,000","2,058,771,000","2,352,071,000","1,680,221,000","1,564,700,000","1,367,304,000","1,016,360,000","361,608,000","884,870,000"
EBIT,"-114,869,000","785,463,000","1,612,603,000","2,072,681,000","1,384,235,000","1,641,021,000","2,007,419,000","1,412,508,000","1,340,965,000","1,141,093,000","766,310,000","105,027,000","668,719,000"
EBT,"-1,843,483,000","-369,031,000","887,090,000","1,661,766,000","1,216,482,000","1,537,948,000","1,876,780,000","1,258,520,000","1,156,224,000","964,035,000","605,137,000","-101,486,000","536,485,000"
Tax,"-99,469,000","494,367,000","391,534,000","515,929,000","591,277,000","486,077,000","473,411,000","371,384,000","372,373,000","295,503,000","177,205,000","128,352,000","232,565,000"
PAT,"-1,744,014,000","-863,398,000","495,556,000","1,145,837,000","625,205,000","1,051,871,000","1,403,369,000","887,136,000","783,851,000","668,532,000","427,932,000","-229,838,000","303,920,000"
EPS,-53.62,-26.55,15.24,35.23,19.22,32.34,43.15,27.28,24.1,20.56,13.16,-7.07,9.34
