Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"15,830,809,000","15,654,827,000","8,800,002,000","6,672,057,000","4,510,789,000","4,790,506,000","4,892,675,000","3,738,867,000","4,200,317,000","4,226,582,000","4,684,671,000","4,578,436,000"
Investments,"325,925,000","329,274,000","208,086,000",0,0,"351,000","2,194,000","4,545,000","4,190,000","5,413,000","4,449,000","4,449,000"
Cash in Hand and Bank,"3,267,510,000","1,516,163,000","9,189,552,000","8,548,293,000","15,006,007,000","1,841,384,000","1,964,359,000","1,417,430,000","1,139,480,000","2,917,186,000","3,545,621,000","2,499,142,000"
Stores and Spares,"260,424,000","146,878,000","114,789,000","111,006,000","98,801,000","82,030,000","66,279,000","83,095,000","64,467,000","63,916,000","41,749,000","94,468,000"
Stock in Trade,"37,516,571,000","29,397,056,000","23,946,058,000","16,288,608,000","13,084,447,000","14,976,001,000","10,726,457,000","10,562,194,000","12,922,396,000","8,748,031,000","6,879,729,000","7,732,518,000"
Trade Debts,"690,658,000","237,538,000","211,358,000","1,205,269,000","1,561,823,000","1,352,310,000","983,273,000","588,042,000","322,677,000","240,719,000","376,508,000","286,697,000"
Current Assets,"58,145,219,000","43,681,834,000","41,006,087,000","30,518,243,000","32,515,406,000","23,107,573,000","18,372,365,000","17,060,451,000","18,584,994,000","14,313,132,000","12,427,633,000","11,807,612,000"
Quick Assets,"20,368,224,000","14,137,900,000","16,945,240,000","14,118,629,000","19,332,158,000","8,049,542,000","7,579,629,000","6,415,162,000","5,598,131,000","5,501,185,000","5,506,155,000","3,980,626,000"
Total Assets,"77,659,826,000","61,509,849,000","50,910,467,000","37,851,965,000","37,451,987,000","28,354,159,000","23,811,277,000","21,348,864,000","23,301,117,000","19,250,364,000","17,655,734,000","16,956,143,000"
Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,"236,130,000",0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"32,442,794,000","11,310,497,000",0,0,0,0,0,0,"75,000,000","50,000,000","80,000,000",0
* Non Interest Bearing Short Term Liability,"16,651,195,000","18,631,815,000","11,391,952,000","6,300,123,000","6,441,748,000","4,954,253,000","3,695,675,000","2,694,625,000","7,794,610,000","4,563,974,000","3,106,659,000","2,514,176,000"
Trades Payables,"12,723,689,000","14,409,566,000","11,391,952,000","6,300,123,000","6,441,748,000","4,945,271,000","3,695,675,000","2,694,625,000","3,211,174,000","3,080,351,000","1,853,034,000","1,315,584,000"
Total Current Liabilities,"51,193,261,000","32,276,984,000","21,360,751,000","11,635,058,000","12,772,749,000","9,117,477,000","6,166,119,000","5,547,980,000","8,008,085,000","4,752,449,000","3,325,134,000","2,657,462,000"
Total Liabilities,"51,708,940,000","32,276,984,000","21,360,751,000","11,635,058,000","12,772,749,000","9,117,477,000","6,166,119,000","5,547,980,000","8,008,085,000","4,752,449,000","3,330,134,000","2,803,462,000"
Paid Up Capital,"822,999,000","822,999,000","822,999,000","822,999,000","822,999,000","822,999,000","822,999,000","822,999,000","822,999,000","822,999,000","823,000,000","823,000,000"
Reserves,"25,127,887,000","28,409,866,000","28,726,717,000","25,393,908,000","23,856,239,000","18,413,683,000","16,822,159,000","14,977,885,000","14,470,033,000","13,674,916,000","13,502,600,000","13,329,681,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"25,950,886,000","29,232,865,000","29,549,716,000","26,216,907,000","24,679,238,000","19,236,682,000","17,645,158,000","15,800,884,000","15,293,032,000","14,497,915,000","14,325,600,000","14,152,681,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"82,299,900","82,299,900","82,299,900","82,299,851","82,299,851","82,299,851","82,299,851","82,299,851","82,299,851","82,299,851","82,299,851","82,299,851"
