Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"116,548,013,000","119,853,898,000","101,811,611,000","76,516,040,000","84,548,757,000","53,664,947,000","51,061,333,000","58,531,137,000","52,718,563,000","42,642,762,000","26,234,061,000","39,669,730,000"
COGS,"114,563,486,000","112,809,033,000","92,159,038,000","69,167,463,000","73,061,309,000","49,481,248,000","47,818,820,000","56,185,397,000","50,849,153,000","41,638,975,000","25,664,762,000","39,081,677,000"
Gross Profit,"1,984,527,000","7,044,865,000","9,652,573,000","7,348,577,000","11,487,448,000","4,183,699,000","3,242,513,000","2,345,740,000","1,869,410,000","1,003,787,000","569,299,000","588,053,000"
Administrative Expenses,"2,550,663,000","2,301,080,000","1,599,815,000","1,539,590,000","1,230,819,000","1,101,650,000","959,363,000","860,753,000","735,935,000","636,332,000","495,200,000","506,160,000"
Selling & Distributive Expenses,"2,539,251,000","2,706,853,000","2,804,256,000","2,004,285,000","1,945,832,000","746,304,000","560,239,000","356,960,000","263,651,000","197,361,000","214,550,000","309,458,000"
Financial Charges,"2,087,752,000","362,523,000","68,088,000","95,775,000","30,840,000","26,709,000","57,576,000","11,100,000","17,845,000","21,349,000","12,564,000","53,470,000"
Other Income,"241,743,000","562,731,000","852,797,000","1,039,851,000","1,058,426,000","510,208,000","863,241,000","493,985,000","620,390,000","575,078,000","619,572,000","1,347,009,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"348,000","154,204,000","413,997,000","333,542,000","653,212,000","195,850,000","175,137,000","111,152,000","107,072,000","55,808,000","38,714,000","73,798,000"
EBITDA,"120,763,000","4,102,863,000","7,133,293,000","5,519,630,000","9,818,815,000","3,768,702,000","3,294,706,000","2,517,347,000","2,418,219,000","1,854,191,000","1,409,683,000","2,087,777,000"
EBIT,"-2,863,992,000","2,445,459,000","5,687,302,000","4,511,011,000","8,716,011,000","2,650,103,000","2,411,015,000","1,510,860,000","1,383,142,000","689,364,000","440,407,000","1,045,646,000"
EBT,"-4,951,744,000","2,082,936,000","5,619,214,000","4,415,236,000","8,685,171,000","2,623,394,000","2,353,439,000","1,499,760,000","1,365,297,000","668,015,000","427,843,000","992,176,000"
Tax,"-2,031,259,000","784,828,000","1,793,393,000","1,642,601,000","2,842,500,000","701,500,000","504,082,000","521,738,000","570,876,000","456,872,000","172,624,000","367,391,000"
PAT,"-2,920,485,000","1,298,108,000","3,825,821,000","2,772,635,000","5,842,671,000","1,921,894,000","1,849,357,000","978,022,000","794,421,000","211,143,000","255,219,000","624,785,000"
EPS,-35.49,15.77,46.49,33.69,70.99,23.35,22.47,11.88,9.65,2.57,3.1,7.59
