Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"14,729,379,000","8,187,159,000","7,327,476,000","6,944,509,000","6,607,396,000","6,333,296,000","5,854,769,000","5,524,767,000","5,831,993,000","6,084,731,000","6,375,233,000","6,987,025,000","7,460,549,000"
Investments,"16,190,758,000","11,439,851,000","4,783,585,000","48,342,898,000","50,132,753,000","50,680,952,000","45,789,368,000","48,253,164,000","1,968,073,000","2,314,168,000","2,019,270,000","2,153,514,000","2,701,097,000"
Cash in Hand and Bank,"3,908,652,000","4,593,141,000","4,636,643,000","4,131,036,000","5,736,213,000","2,311,884,000","20,606,509,000","5,227,328,000","1,624,025,000","2,309,006,000","1,778,056,000","2,883,118,000","3,018,640,000"
Stores and Spares,"538,631,000","474,209,000","239,981,000","203,542,000","218,978,000","207,693,000","189,335,000","138,775,000","134,431,000","115,339,000","113,863,000","112,143,000","115,814,000"
Stock in Trade,"57,214,768,000","89,665,031,000","81,615,455,000","66,333,048,000","50,834,033,000","58,492,301,000","86,297,218,000","106,089,048,000","88,523,794,000","95,378,393,000","58,598,668,000","40,698,209,000","62,360,067,000"
Trade Debts,"196,759,839,000","219,586,332,000","245,577,071,000","212,619,281,000","178,271,018,000","180,778,298,000","175,386,168,000","76,596,194,000","218,022,292,000","124,721,832,000","117,501,074,000","80,509,830,000","33,904,728,000"
Current Assets,"292,904,404,000","384,225,277,000","378,103,557,000","368,559,594,000","274,255,094,000","275,748,711,000","313,514,125,000","224,356,128,000","337,795,984,000","252,814,896,000","193,373,148,000","138,689,524,000","115,878,692,000"
Quick Assets,"235,151,005,000","294,086,037,000","296,248,121,000","302,023,004,000","223,202,083,000","217,048,717,000","227,027,572,000","118,128,305,000","249,137,759,000","157,321,164,000","134,660,617,000","97,879,172,000","53,402,811,000"
Total Assets,"341,718,126,000","417,079,525,000","402,562,332,000","392,442,964,000","342,318,730,000","341,307,233,000","372,151,029,000","281,308,238,000","347,427,594,000","262,673,406,000","202,247,741,000","153,421,643,000","127,110,020,000"
Interest Bearing Long Term Liability,"4,314,789,000",0,0,0,0,0,0,"606,204,000","484,027,000","374,187,000","340,192,000","279,495,000","280,480,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,"1,342,463,000","692,051,000","649,344,000","608,284,000","575,223,000","554,118,000"
Interest Bearing Short Term Liability,"66,470,288,000","106,977,130,000","89,846,517,000","130,498,503,000","105,112,929,000","102,075,514,000","92,321,074,000","17,269,681,000","45,772,649,000","24,541,511,000","13,021,015,000","18,654,526,000","10,997,908,000"
* Non Interest Bearing Short Term Liability,"148,677,038,000","181,059,870,000","796,795,000","150,514,254,000","138,701,832,000","147,912,147,000","195,336,677,000","197,734,841,000","247,311,945,000","192,283,150,000","156,365,929,000","110,680,082,000","81,285,493,000"
Trades Payables,"147,460,348,000","180,042,553,000",0,"149,247,461,000","137,890,193,000","147,045,253,000","194,008,480,000","197,302,571,000","246,767,460,000","191,851,017,000","156,035,716,000","110,123,702,000","81,067,565,000"
Total Current Liabilities,"216,993,362,000","290,371,129,000","286,944,833,000","281,503,729,000","244,503,273,000","250,676,173,000","288,346,263,000","215,693,034,000","293,773,106,000","217,513,173,000","170,075,456,000","130,023,120,000","93,736,220,000"
Total Liabilities,"228,657,125,000","297,898,838,000","292,109,857,000","289,593,362,000","250,737,405,000","258,996,937,000","293,529,872,000","219,420,634,000","297,467,686,000","220,770,421,000","172,911,683,000","132,550,858,000","96,144,966,000"
Paid Up Capital,"4,694,734,000","3,912,278,000","3,260,232,000","2,716,860,000","2,716,860,000","2,716,860,000","2,716,860,000","2,469,872,000","1,715,190,000","1,715,190,000","1,715,190,000","1,715,190,000","1,715,190,000"
Reserves,"108,366,267,000","115,268,409,000","107,192,243,000","100,132,742,000","88,864,465,000","79,593,436,000","75,904,297,000","59,417,732,000","48,244,718,000","40,187,795,000","27,620,868,000","19,155,595,000","29,249,864,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"113,061,001,000","119,180,687,000","110,452,475,000","102,849,602,000","91,581,325,000","82,310,296,000","78,621,157,000","61,887,604,000","49,959,908,000","41,902,985,000","29,336,058,000","20,870,785,000","30,965,054,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"469,473,400","391,227,800","326,023,200","271,685,939","271,685,939","271,685,939","271,685,939","246,987,217","171,518,901","171,518,901","171,518,901","171,518,901","171,518,901"
