Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"1,108,357,723,000","1,154,297,980,000","1,056,900,563,000","878,146,786,000","677,966,877,000","913,094,377,000","1,187,639,316,000","1,100,122,318,000","1,024,423,605,000","820,530,364,000","742,757,951,000","612,695,589,000","495,278,533,000"
COGS,"1,096,130,521,000","1,118,280,614,000","1,017,264,455,000","840,948,073,000","655,103,752,000","889,515,267,000","1,150,815,228,000","1,063,613,380,000","990,101,083,000","786,250,059,000","713,591,707,000","609,685,478,000","465,254,907,000"
Gross Profit,"12,227,202,000","36,017,366,000","39,636,108,000","37,198,713,000","22,863,125,000","23,579,110,000","36,824,088,000","36,508,938,000","34,322,522,000","34,280,305,000","29,166,244,000","3,010,111,000","30,023,626,000"
Administrative Expenses,"3,148,037,000","2,502,230,000","2,769,667,000","2,478,797,000","2,422,738,000","2,400,824,000","2,084,165,000","1,865,657,000","1,659,530,000","2,653,741,000","2,308,280,000","2,859,779,000","2,651,849,000"
Selling & Distributive Expenses,"11,489,637,000","9,911,519,000","9,159,330,000","8,822,106,000","8,426,291,000","9,018,504,000","8,395,769,000","8,461,834,000","5,863,170,000","5,175,233,000","4,055,238,000","3,960,953,000","3,278,203,000"
Financial Charges,"13,427,312,000","8,939,012,000","5,123,344,000","5,923,256,000","7,149,592,000","11,016,553,000","9,544,109,000","7,591,156,000","11,658,928,000","11,903,162,000","9,882,010,000","6,232,056,000","1,367,898,000"
Other Income,"10,754,596,000","7,511,710,000","7,910,813,000","11,353,312,000","13,410,768,000","14,403,307,000","20,059,203,000","6,510,216,000","10,154,043,000","6,476,413,000","8,090,803,000","2,680,202,000","2,004,705,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"50,831,000","4,699,475,000","3,334,100,000","1,980,999,000","1,986,064,000","3,512,788,000","3,890,061,000","6,011,835,000","11,620,520,000","3,050,148,000","3,048,367,000","3,994,389,000","3,352,969,000"
EBITDA,"9,906,617,000","27,543,622,000","33,357,015,000","36,322,195,000","24,464,125,000","24,051,164,000","43,567,731,000","27,839,657,000","26,476,423,000","31,016,805,000","29,027,551,000","-3,930,495,000","23,912,136,000"
EBIT,"8,293,293,000","26,415,852,000","32,283,824,000","35,270,123,000","23,438,800,000","23,050,301,000","42,513,296,000","26,679,828,000","25,333,345,000","29,877,596,000","27,845,162,000","-5,124,808,000","22,745,310,000"
EBT,"-5,134,019,000","17,476,840,000","27,160,480,000","29,346,867,000","16,289,208,000","12,033,748,000","32,969,187,000","19,088,672,000","13,674,417,000","17,974,434,000","17,963,152,000","-11,356,864,000","21,377,412,000"
Tax,"1,331,533,000","6,890,287,000","11,699,223,000","11,121,242,000","6,016,078,000","5,097,384,000","11,151,052,000","6,530,727,000","4,618,362,000","3,195,120,000","8,913,556,000","-4,658,329,000","7,323,617,000"
PAT,"-6,465,552,000","10,586,553,000","15,461,257,000","18,225,625,000","10,273,130,000","6,936,364,000","21,818,135,000","12,557,945,000","9,056,055,000","14,779,314,000","9,049,596,000","-6,698,535,000","14,053,795,000"
EPS,-13.77,27.06,47.42,67.08,37.81,25.53,80.31,50.84,52.8,86.17,52.76,-39.05,81.94
