Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,36.95,31.63,37.27,33.06,39.17,9.51,9.01,10.42,11.61,15.16,-12.80,28.68
Plow Back,100.00,63.05,68.37,62.73,66.94,60.83,90.49,90.99,89.58,88.39,84.84,112.80,71.32
Return on Equity,-5.72,8.88,14.00,17.72,11.22,8.43,27.75,20.29,18.13,35.27,30.85,-32.09,45.39
Return on Assets,-1.89,2.54,3.84,4.64,3.00,2.03,5.86,4.46,2.61,5.63,4.47,-4.37,11.06
Book Value per Share,240.83,304.63,338.79,378.56,337.09,302.96,289.38,250.57,291.28,244.31,171.04,121.68,180.53
Earning Per Share,-13.77,27.06,47.42,67.08,37.81,25.53,80.31,50.84,52.80,86.17,52.76,-39.05,81.94
Net Working Capital to Total Asseets,0.22,0.23,0.23,0.22,0.09,0.07,0.07,0.03,0.13,0.13,0.12,0.06,0.17
Current Ratio,1.35,1.32,1.32,1.31,1.12,1.10,1.09,1.04,1.15,1.16,1.14,1.07,1.24
Acid Test,1.08,1.01,1.03,1.07,0.91,0.87,0.79,0.55,0.85,0.72,0.79,0.75,0.57
Times Interest Earned,0.62,2.96,6.30,5.95,3.28,2.09,4.45,3.51,2.17,2.51,2.82,-0.82,16.63
Total Debt Ratio,0.67,0.71,0.73,0.74,0.73,0.76,0.79,0.78,0.86,0.84,0.85,0.86,0.76
Debt To Equity,2.02,2.50,2.64,2.82,2.74,3.15,3.73,3.55,5.95,5.27,5.89,6.35,3.10
Return on Capital Employed,0.07,0.21,0.28,0.32,0.24,0.25,0.51,0.41,0.47,0.66,0.87,-0.22,0.68
Average Collection Period,64.80,69.44,84.81,88.38,95.98,72.26,53.90,25.41,77.68,55.48,57.74,47.96,24.99
Days sales Inventory,19.23,29.42,29.37,28.88,28.45,24.09,27.43,36.45,32.68,44.33,30.03,24.43,49.01
Total Assets Turnover,3.24,2.77,2.63,2.24,1.98,2.68,3.19,3.91,2.95,3.12,3.67,3.99,3.90
Gross Profit Margin,1.10,3.12,3.75,4.24,3.37,2.58,3.10,3.32,3.35,4.18,3.93,0.49,6.06
Net Profit Margin,-0.58,0.92,1.46,2.08,1.51,0.76,1.84,1.14,0.88,1.80,1.22,-1.09,2.84
