Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"71,548,302,000","70,099,626,000","69,757,391,000","71,420,100,000","75,751,975,000","81,512,598,000","81,061,355,000","60,038,254,000","55,254,014,000","57,174,527,000","59,239,001,000","66,336,042,000"
COGS,"54,569,330,000","52,257,894,000","51,043,742,000","50,358,343,000","53,783,589,000","55,682,723,000","53,073,952,000","44,898,012,000","41,814,765,000","38,258,711,000","37,732,282,000","37,346,869,000"
Gross Profit,"16,978,972,000","17,841,732,000","18,713,649,000","21,061,757,000","21,968,386,000","25,829,875,000","27,987,403,000","15,140,242,000","13,439,249,000","18,915,816,000","21,506,719,000","28,989,173,000"
Administrative Expenses,"6,759,574,000","8,456,188,000","8,617,477,000","8,770,136,000","9,782,258,000","9,857,639,000","9,116,544,000","7,770,295,000","7,375,956,000","7,223,780,000","8,935,261,000","10,823,555,000"
Selling & Distributive Expenses,"2,991,971,000","2,871,420,000","2,947,347,000","3,129,868,000","3,514,400,000","3,290,137,000","2,901,035,000","2,478,537,000","2,281,485,000","2,142,324,000","1,817,071,000","1,799,946,000"
Financial Charges,"317,775,000","553,828,000","304,611,000","193,708,000","317,376,000","295,193,000","346,477,000","481,745,000","207,519,000","403,240,000","908,524,000","847,973,000"
Other Income,"4,710,120,000","4,796,873,000","6,001,194,000","5,834,131,000","4,917,762,000","3,799,159,000","4,214,290,000","6,596,103,000","7,839,617,000","5,134,646,000","4,267,172,000","3,957,539,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"2,288,544,000",0,0,"4,601,379,000",0,"8,174,536,000",0,0,0,0,0,0
EBITDA,"24,587,510,000","25,250,663,000","27,238,660,000","24,106,141,000","27,990,674,000","21,624,646,000","32,525,363,000","23,436,542,000","23,495,571,000","27,141,079,000","27,721,557,000","8,820,312,000"
EBIT,"9,649,003,000","11,310,997,000","13,150,019,000","10,394,505,000","13,589,490,000","8,306,722,000","20,184,114,000","11,487,513,000","11,621,425,000","14,684,358,000","14,929,441,000","-3,614,643,000"
EBT,"9,331,228,000","10,757,169,000","12,845,408,000","10,200,797,000","13,272,114,000","8,011,529,000","19,837,637,000","11,005,768,000","11,413,906,000","14,281,118,000","14,020,917,000","-4,462,616,000"
Tax,"2,983,993,000","3,334,722,000","4,495,894,000","6,834,534,000","4,512,519,000","2,804,035,000","7,141,504,000","3,793,689,000","3,985,736,000","4,986,966,000","4,869,732,000","-1,637,726,000"
PAT,"6,347,235,000","7,422,447,000","8,349,514,000","6,834,534,000","8,759,595,000","5,207,494,000","12,696,133,000","7,212,079,000","7,428,170,000","9,294,152,000","9,151,185,000","-2,824,890,000"
EPS,1.24,1.46,1.64,1.34,1.72,1.02,2.49,1.41,1.46,1.82,1.79,-0.55
