Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-7.53,-9.33,-7.12,-6.20,-0.57,0.28,7.56,0.11,22.84,-43.54
Return on Assets,-5.36,-6.87,-5.63,-5.30,-0.53,0.27,7.04,0.11,15.42,4.59
Book Value per Share,5.32,5.56,6.12,6.50,6.90,6.93,5.92,5.50,4.59,-1.00
Earning Per Share,-0.40,-0.52,-0.44,-0.40,-0.04,0.02,0.45,0.01,2.22,0.17
Net Working Capital to Total Asseets,0.29,0.36,0.27,0.32,0.44,0.45,0.52,0.53,0.71,0.59
Current Ratio,2.33,3.25,2.30,3.27,8.00,12.89,9.66,58.50,52.36,4.27
Acid Test,0.29,0.45,0.40,0.69,4.44,10.36,7.50,48.99,43.92,3.23
Times Interest Earned,-177.61,-234.37,-236.43,-369.27,-34.17,68.92,566.08,2.06,539.82,64.27
Total Debt Ratio,0.29,0.26,0.21,0.15,0.07,0.04,0.07,0.02,0.32,1.11
Debt To Equity,0.41,0.36,0.26,0.17,0.07,0.04,0.07,0.02,0.48,-10.49
Return on Capital Employed,-0.06,-0.07,-0.07,-0.06,-0.00,0.00,0.08,0.00,0.16,0.02
Average Collection Period,39.61,30.90,26.66,37.25,166.72,208.71,257.38,182.03,237.56,154.88
Days sales Inventory,693.80,1157.30,908.95,772.11,388.60,177.26,131.98,73.22,79.14,65.22
Total Assets Turnover,0.25,0.16,0.17,0.20,0.32,0.29,0.57,0.70,0.82,1.12
Gross Profit Margin,6.93,9.81,6.89,16.32,34.37,32.55,37.39,37.13,34.54,6.64
Net Profit Margin,-21.13,-43.72,-33.65,-25.86,-1.66,0.92,12.29,0.15,18.76,4.10
