Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"6,607,175,000","6,764,602,000","7,027,104,000","6,805,788,000","6,389,399,000","5,165,388,000","5,142,725,000","5,061,630,000","4,094,817,000","3,147,162,000","2,753,216,000","2,056,715,000"
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"5,329,222,000","4,262,536,000","3,149,236,000","3,788,730,000","2,786,410,000","3,115,831,000","57,322,000","506,520,000","63,026,000","39,741,000","673,409,000","13,730,000"
Stores and Spares,"820,899,000","751,498,000","620,944,000","649,729,000","728,968,000","676,810,000","545,310,000","437,899,000","365,115,000","310,521,000","277,972,000","279,768,000"
Stock in Trade,"4,054,883,000","3,422,783,000","4,377,194,000","3,692,891,000","3,409,116,000","2,727,126,000","5,055,296,000","3,093,207,000","3,005,990,000","3,125,746,000","1,166,118,000","2,406,062,000"
Trade Debts,"1,675,573,000","1,234,886,000","1,121,006,000","981,253,000","1,004,129,000","902,666,000","770,947,000","742,382,000","537,810,000","376,923,000","315,365,000","343,604,000"
Current Assets,"12,121,916,000","9,930,738,000","9,527,914,000","9,367,040,000","8,193,977,000","7,721,077,000","6,742,887,000","5,183,660,000","4,116,445,000","4,015,673,000","2,531,960,000","3,157,908,000"
Quick Assets,"7,246,134,000","5,756,457,000","4,529,776,000","5,024,420,000","4,055,893,000","4,317,141,000","1,142,281,000","1,652,554,000","746,340,000","579,406,000","1,087,870,000","472,078,000"
Total Assets,"18,860,158,000","16,901,615,000","16,743,815,000","16,424,702,000","14,606,233,000","12,898,083,000","11,920,476,000","10,320,449,000","8,280,178,000","7,259,947,000","5,304,524,000","5,287,371,000"
Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"5,211,000",0,0,0,0,0,"80,388,000",0,"397,902,000","634,460,000",0,"493,709,000"
* Non Interest Bearing Short Term Liability,"2,618,986,000","2,696,816,000","3,461,555,000","2,284,368,000","2,100,025,000","2,201,997,000","2,562,059,000","2,607,682,000","1,366,702,000","1,116,801,000","742,803,000","774,446,000"
Trades Payables,"2,617,924,000","2,696,764,000","3,461,555,000","2,284,354,000","2,099,989,000","2,201,983,000","2,557,080,000","2,596,483,000","1,355,244,000","1,108,503,000","734,202,000","765,924,000"
Total Current Liabilities,"3,186,722,000","2,998,505,000","3,587,123,000","2,422,796,000","2,287,557,000","2,541,580,000","2,789,464,000","2,894,534,000","2,024,906,000","1,954,308,000","1,036,473,000","1,473,657,000"
Total Liabilities,"4,058,221,000","3,757,335,000","4,441,636,000","3,391,202,000","2,932,447,000","3,216,635,000","3,497,512,000","3,456,591,000","2,398,588,000","2,306,062,000","1,296,794,000","1,708,930,000"
Paid Up Capital,"92,364,000","92,364,000","92,364,000","92,364,000","92,364,000","92,364,000","92,364,000","92,364,000","92,364,000","92,364,000","92,364,000","92,364,000"
Reserves,"14,709,573,000","13,051,915,000","12,209,815,000","12,941,136,000","11,581,422,000","9,589,084,000","8,330,600,000","6,771,494,000","5,789,226,000","4,861,521,000","3,915,366,000","3,486,077,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"14,801,937,000","13,144,279,000","12,302,179,000","13,033,500,000","11,673,786,000","9,681,448,000","8,422,964,000","6,863,858,000","5,881,590,000","4,953,885,000","4,007,730,000","3,578,441,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"9,236,400","9,236,400","9,236,400","9,236,428","9,236,428","9,236,428","9,236,428","9,236,428","9,236,428","9,236,428","9,236,428","9,236,428"
