Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"35,260,665,000","29,564,160,000","26,018,104,000","25,060,830,000","24,618,077,000","25,196,599,000","23,672,632,000","19,531,398,000","18,270,994,000","13,912,769,000","11,428,104,000","10,746,826,000"
COGS,"26,007,013,000","21,374,866,000","18,592,634,000","18,345,146,000","19,163,936,000","20,539,625,000","19,459,818,000","15,556,892,000","14,471,176,000","10,615,033,000","8,992,742,000","8,005,580,000"
Gross Profit,"9,253,652,000","8,189,294,000","7,425,470,000","6,715,684,000","5,454,141,000","4,656,974,000","4,212,814,000","3,974,506,000","3,799,818,000","3,297,736,000","2,435,362,000","2,741,246,000"
Administrative Expenses,"576,117,000","466,895,000","487,646,000","427,225,000","408,872,000","354,097,000","318,499,000","302,190,000","253,839,000","211,092,000","187,535,000","165,510,000"
Selling & Distributive Expenses,"491,958,000","694,381,000","638,768,000","346,699,000","289,904,000","257,508,000","223,836,000","368,192,000","146,109,000","131,768,000","116,884,000","160,563,000"
Financial Charges,"23,257,000","25,822,000","15,615,000","17,835,000","15,295,000","117,018,000","58,055,000","56,099,000","57,740,000","31,548,000","48,766,000","36,123,000"
Other Income,"389,185,000","255,066,000","193,181,000","200,541,000","177,476,000","98,080,000","220,563,000","100,769,000","106,011,000","83,104,000","79,259,000","90,911,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"554,574,000","472,038,000","425,607,000","417,091,000","318,145,000","272,559,000","239,489,000","225,990,000","231,951,000","206,443,000","149,572,000","170,896,000"
EBITDA,"8,496,096,000","7,263,393,000","6,586,695,000","6,178,197,000","5,061,948,000","4,323,831,000","4,029,955,000","3,398,556,000","3,453,232,000","2,989,070,000","2,211,541,000","2,475,269,000"
EBIT,"8,020,188,000","6,811,046,000","6,066,630,000","5,725,210,000","4,614,696,000","3,870,890,000","3,651,553,000","3,178,903,000","3,273,930,000","2,831,537,000","2,060,630,000","2,335,188,000"
EBT,"7,996,931,000","6,785,224,000","6,051,015,000","5,707,375,000","4,599,401,000","3,753,872,000","3,593,498,000","3,122,804,000","3,216,190,000","2,799,989,000","2,011,864,000","2,299,065,000"
Tax,"2,355,606,000","2,013,519,000","1,658,758,000","1,827,944,000","1,324,236,000","1,237,106,000","812,017,000","1,082,874,000","1,182,362,000","962,052,000","714,784,000","806,700,000"
PAT,"5,641,325,000","4,771,705,000","4,392,257,000","3,879,431,000","3,275,165,000","2,516,766,000","2,781,481,000","2,039,930,000","2,033,828,000","1,837,937,000","1,297,080,000","1,492,365,000"
EPS,610.77,516.62,475.54,420.01,354.59,272.48,301.14,220.86,220.2,198.99,140.43,161.57
