Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,81.86,82.27,78.86,111.90,49.35,513.76,44.83,56.60,56.77,57.79,64.09,61.89
Plow Back,18.14,17.73,21.14,-11.90,50.65,-413.76,55.17,43.40,43.23,42.21,35.91,38.11
Return on Equity,38.11,36.30,35.70,29.77,28.06,26.00,33.02,29.72,34.58,37.10,32.36,41.70
Return on Assets,29.91,28.23,26.23,23.62,22.42,19.51,23.33,19.77,24.56,25.32,24.45,28.23
Book Value per Share,1602.57,1423.10,1331.92,1411.10,1263.89,1048.18,911.93,743.13,636.78,536.34,433.90,387.43
Earning Per Share,610.77,516.62,475.54,420.01,354.59,272.48,301.14,220.86,220.20,198.99,140.43,161.57
Net Working Capital to Total Asseets,0.47,0.41,0.35,0.42,0.40,0.40,0.33,0.22,0.25,0.28,0.28,0.32
Current Ratio,3.80,3.31,2.66,3.87,3.58,3.04,2.42,1.79,2.03,2.05,2.44,2.14
Acid Test,2.27,1.92,1.26,2.07,1.77,1.70,0.41,0.57,0.37,0.30,1.05,0.32
Times Interest Earned,344.85,263.77,388.51,321.01,301.71,33.08,62.90,56.67,56.70,89.75,42.26,64.65
Total Debt Ratio,0.22,0.22,0.27,0.21,0.20,0.25,0.29,0.33,0.29,0.32,0.24,0.32
Debt To Equity,0.27,0.29,0.36,0.26,0.25,0.33,0.42,0.50,0.41,0.47,0.32,0.48
Return on Capital Employed,0.51,0.49,0.46,0.41,0.37,0.37,0.40,0.43,0.52,0.53,0.48,0.61
Average Collection Period,17.34,15.25,15.73,14.29,14.89,13.08,11.89,13.87,10.74,9.89,10.07,11.67
Days sales Inventory,68.43,71.28,98.12,86.40,78.81,60.49,105.05,82.85,85.03,118.16,58.61,122.46
Total Assets Turnover,1.87,1.75,1.55,1.53,1.69,1.95,1.99,1.89,2.21,1.92,2.15,2.03
Gross Profit Margin,26.24,27.70,28.54,26.80,22.16,18.48,17.80,20.35,20.80,23.70,21.31,25.51
Net Profit Margin,16.00,16.14,16.88,15.48,13.30,9.99,11.75,10.44,11.13,13.21,11.35,13.89
