Year,2020,2019,2018,2017,2016
Payout,57.23,0.00,0.00,44.86,0.00
Plow Back,42.77,100.00,100.00,55.14,100.00
Return on Equity,4.23,-0.48,-1.76,4.48,10.77
Return on Assets,2.80,-0.29,-1.08,2.85,5.10
Book Value per Share,41.31,39.57,43.49,49.75,81.18
Earning Per Share,1.75,-0.19,-0.77,2.77,3.49
Net Working Capital to Total Asseets,0.19,0.15,0.22,0.31,0.07
Current Ratio,1.73,1.47,1.68,2.35,1.21
Acid Test,1.35,1.16,1.39,1.99,0.90
Times Interest Earned,1.78,1.22,0.39,3.41,7.18
Total Debt Ratio,0.34,0.39,0.39,0.36,0.53
Debt To Equity,0.51,0.64,0.63,0.57,1.11
Return on Capital Employed,0.06,0.04,0.01,0.06,0.09
Average Collection Period,87.54,85.86,111.49,106.14,97.10
Days sales Inventory,68.62,63.26,76.29,70.37,58.84
Total Assets Turnover,0.59,0.59,0.48,0.49,0.71
Gross Profit Margin,10.45,5.66,7.64,13.49,14.21
Net Profit Margin,4.74,-0.50,-2.25,5.85,7.23
