Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Fixed Assets,"1,652,941,000","1,661,132,000","1,701,285,000","1,866,455,000","2,013,546,000","2,018,562,000","1,845,108,000","1,628,173,000","1,531,071,000","1,408,921,000"
Investments,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"30,779,000","254,648,000","15,844,000","50,440,000","25,484,000","9,280,000","21,925,000","4,944,000","3,469,000","2,110,000"
Stores and Spares,"62,165,000","52,020,000","51,173,000","48,808,000","54,710,000","49,471,000","49,469,000","48,102,000","43,450,000","39,178,000"
Stock in Trade,"2,544,188,000","2,879,645,000","2,406,335,000","2,644,100,000","2,851,317,000","3,758,056,000","2,451,046,000","1,972,178,000","1,652,235,000","1,148,158,000"
Trade Debts,"691,325,000","582,001,000","683,932,000","707,359,000","1,002,472,000","733,717,000","905,875,000","942,657,000","301,715,000","156,547,000"
Current Assets,"5,910,884,000","6,083,289,000","4,897,508,000","4,931,595,000","5,372,603,000","5,802,198,000","4,676,088,000","3,814,491,000","2,829,950,000","1,924,012,000"
Quick Assets,"3,304,531,000","3,151,624,000","2,440,000,000","2,238,687,000","2,466,576,000","1,994,671,000","2,175,573,000","1,794,211,000","1,134,265,000","736,676,000"
Total Assets,"7,696,039,000","7,805,730,000","6,625,062,000","6,818,752,000","7,407,170,000","7,832,747,000","6,532,955,000","5,455,707,000","4,405,553,000","3,348,427,000"
Interest Bearing Long Term Liability,"1,592,000",0,0,"500,000,000","500,000,000","500,000,000","500,000,000",0,"127,433,000","380,008,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"448,960,000",0,"271,296,000","675,441,000","2,352,875,000","2,748,867,000","1,580,862,000","1,545,893,000","1,093,749,000","366,065,000"
* Non Interest Bearing Short Term Liability,"3,067,303,000","3,500,100,000","2,205,148,000","2,174,295,000","2,046,254,000","2,059,457,000","2,088,979,000","1,738,150,000","1,422,277,000","1,002,752,000"
Trades Payables,"3,054,420,000","3,499,761,000","2,203,713,000","2,168,257,000","2,002,832,000","1,991,679,000","1,624,684,000","1,694,420,000","1,389,751,000","975,503,000"
Total Current Liabilities,"3,604,995,000","3,508,065,000","2,476,444,000","2,849,736,000","4,399,129,000","4,808,324,000","3,669,841,000","3,284,043,000","2,516,026,000","1,368,817,000"
Total Liabilities,"3,606,587,000","3,508,065,000","2,476,444,000","3,406,412,000","4,997,144,000","5,440,600,000","4,306,342,000","3,440,326,000","2,804,218,000","1,887,024,000"
Paid Up Capital,"96,448,000","96,448,000","96,448,000","96,448,000","96,448,000","96,448,000","96,448,000","96,448,000","96,448,000","96,448,000"
Reserves,"3,993,004,000","4,201,217,000","4,052,170,000","3,315,892,000","2,313,578,000","2,295,699,000","2,130,165,000","1,918,933,000","1,504,887,000","1,364,955,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"4,089,452,000","4,297,665,000","4,148,618,000","3,412,340,000","2,410,026,000","2,392,147,000","2,226,613,000","2,015,381,000","1,601,335,000","1,461,403,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10
Number of Shares,"9,644,800","9,644,800","9,644,800","9,644,760","9,644,760","9,644,760","9,644,760","9,644,760","9,644,760","9,644,760"
