Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Payout,49.83,47.22,9.59,28.40,43.52,28.31,31.13,24.74,42.01,43.05
Plow Back,50.17,52.78,90.41,71.60,56.48,71.69,68.87,75.26,57.99,56.95
Return on Equity,3.79,14.26,24.25,29.86,2.76,9.97,13.91,24.18,14.34,15.33
Return on Assets,2.01,7.85,15.19,14.94,0.90,3.04,4.74,8.93,5.21,6.69
Book Value per Share,424.01,445.59,430.14,353.80,249.88,248.03,230.86,208.96,166.03,151.52
Earning Per Share,16.05,63.54,104.32,105.65,6.89,24.72,32.12,50.52,23.80,23.23
Net Working Capital to Total Asseets,0.30,0.33,0.37,0.31,0.13,0.13,0.15,0.10,0.07,0.17
Current Ratio,1.64,1.73,1.98,1.73,1.22,1.21,1.27,1.16,1.12,1.41
Acid Test,0.92,0.90,0.99,0.79,0.56,0.41,0.59,0.55,0.45,0.54
Times Interest Earned,8.55,63.59,44.67,9.83,1.60,2.14,3.32,5.47,4.74,4.09
Total Debt Ratio,0.47,0.45,0.37,0.50,0.67,0.69,0.66,0.63,0.64,0.56
Debt To Equity,0.88,0.82,0.60,1.00,2.07,2.27,1.93,1.71,1.75,1.29
Return on Capital Employed,0.15,0.22,0.38,0.39,0.16,0.21,0.27,0.40,0.28,0.27
Average Collection Period,17.40,16.39,20.06,21.71,33.92,26.92,37.61,39.88,14.45,9.28
Days sales Inventory,88.28,118.71,111.98,124.91,132.92,187.42,149.29,122.92,110.80,98.39
Total Assets Turnover,1.88,1.66,1.88,1.74,1.46,1.27,1.35,1.58,1.73,1.84
Gross Profit Margin,25.69,30.45,35.64,33.82,26.02,25.47,30.46,30.47,26.69,28.48
Net Profit Margin,1.07,4.73,8.08,8.57,0.62,2.40,3.52,5.65,3.01,3.64
