Year,2020,2019,2018,2017,2016
Fixed Assets,"13,119,291,362","12,679,723,703","11,415,325,178","10,575,291,482","9,522,840,324"
Investments,"16,600,974,546","18,318,975,125","19,061,437,379","17,544,446,959","10,555,139,245"
Cash in Hand and Bank,"67,540,738","96,759,191","55,448,646","72,134,493","99,706,069"
Stores and Spares,"471,374,075","393,812,720","390,369,902","427,452,997","328,631,930"
Stock in Trade,"8,910,912,161","7,481,967,254","5,471,700,519","5,326,588,336","4,281,470,839"
Trade Debts,"2,782,771,494","2,197,892,804","2,947,183,401","1,723,627,585","1,473,660,103"
Current Assets,"17,482,684,007","17,103,930,010","15,347,245,872","14,030,361,000","11,583,158,478"
Quick Assets,"8,100,397,771","9,228,150,036","9,485,175,451","8,276,319,667","6,973,055,709"
Total Assets,"44,446,280,135","44,211,791,189","42,330,151,035","42,532,024,018","31,800,656,888"
Interest Bearing Long Term Liability,"13,772,308,842","12,257,108,436","12,857,957,903","13,325,515,200","6,728,738,161"
Non Interest Bearing Long Term Liability,0,0,0,0,0
Interest Bearing Short Term Liability,"8,807,562,824","9,798,759,620","8,441,573,491","8,021,307,919","6,286,211,451"
* Non Interest Bearing Short Term Liability,"4,260,158,729","3,763,012,408","4,052,057,112","3,399,754,038","2,649,918,679"
Trades Payables,"3,898,936,441","3,442,588,442","3,867,282,911","3,224,402,305","2,525,623,858"
Total Current Liabilities,"13,899,813,558","15,063,018,074","12,971,562,256","11,806,321,170","9,676,419,041"
Total Liabilities,"27,969,732,188","27,829,710,847","26,307,895,833","25,537,269,368","16,896,675,721"
Paid Up Capital,"216,897,910","200,831,400","200,831,400","200,831,400","200,831,400"
Reserves,"16,259,650,037","16,181,248,942","15,821,423,802","16,793,923,250","14,703,149,767"
Preferred Equity,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0
Shareholder Equity,"16,476,547,947","16,382,080,342","16,022,255,202","16,994,754,650","14,903,981,167"
Paid Up Value,10,10,10,10,10
Number of Shares,"21,689,791","20,083,140","20,083,140","20,083,140","20,083,140"
