Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"16,567,219,000","14,537,198,000","12,911,141,000","10,753,751,000","9,524,575,000","7,582,470,000","6,071,823,000","5,149,798,000","4,936,049,000","4,238,840,000","3,680,213,000","2,708,974,000","2,085,344,000"
COGS,"8,295,187,000","9,616,862,000","8,473,767,000","6,574,400,000","5,810,501,000","4,250,170,000","3,594,642,000","2,806,599,000","2,806,470,000","2,352,430,000","2,028,729,000","1,551,384,000","1,225,533,000"
Gross Profit,"8,272,032,000","4,920,336,000","4,437,374,000","4,179,351,000","3,714,074,000","3,332,300,000","2,477,181,000","2,343,199,000","2,129,579,000","1,886,410,000","1,651,484,000","1,157,590,000","859,811,000"
Administrative Expenses,"1,081,900,000","909,364,000","900,149,000","683,553,000","281,383,000","202,323,000","202,754,000","131,571,000","126,806,000","119,583,000","99,963,000","86,392,000","69,935,000"
Selling & Distributive Expenses,"3,762,599,000","3,698,801,000","3,149,899,000","2,644,535,000","2,420,331,000","1,829,885,000","1,577,011,000","1,193,921,000","1,116,442,000","1,005,244,000","909,020,000","664,231,000","502,973,000"
Financial Charges,"641,491,000","428,036,000","204,910,000","126,264,000","110,147,000","190,166,000","213,402,000","230,049,000","295,968,000","313,878,000","111,905,000","104,410,000","105,279,000"
Other Income,"780,277,000","3,099,914,000","3,228,408,000","2,328,810,000","1,806,046,000","805,676,000","593,049,000","50,974,000","48,700,000","115,065,000","62,060,000","85,738,000","51,710,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"261,841,000","153,869,000","177,601,000","178,876,000","187,964,000","147,938,000","118,943,000","85,656,000","82,966,000","53,549,000","49,162,000","31,428,000","18,570,000"
EBITDA,"4,291,012,000","3,518,955,000","3,438,133,000","3,156,216,000","2,749,367,000","2,043,160,000","1,257,260,000","1,070,210,000","936,880,000","921,020,000","750,691,000","559,728,000","406,498,000"
EBIT,"3,945,969,000","3,258,216,000","3,438,133,000","3,001,197,000","2,630,442,000","1,957,830,000","1,171,522,000","983,025,000","852,065,000","823,099,000","655,399,000","461,277,000","315,348,000"
EBT,"3,304,478,000","2,830,180,000","3,233,223,000","2,874,933,000","2,520,295,000","1,767,664,000","958,120,000","752,976,000","556,097,000","509,221,000","543,494,000","356,867,000","210,069,000"
Tax,"849,401,000","188,234,000","184,059,000","236,188,000","430,907,000","362,251,000","204,895,000","228,908,000","179,586,000","141,262,000","186,330,000","98,453,000","68,597,000"
PAT,"2,455,077,000","2,641,946,000","3,049,164,000","2,638,745,000","2,089,388,000","1,405,413,000","753,225,000","524,068,000","376,511,000","367,959,000","357,164,000","258,414,000","141,472,000"
EPS,11.56,12.44,16.51,17.14,17.33,16.37,12.28,11.11,11.18,12.01,11.66,9.7,5.31
