Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"958,056,228","1,036,690,600","2,412,172,787","2,116,461,828","3,074,265,783","3,658,738,922","5,035,626,960","5,183,842,311","4,866,138,711","3,753,491,599","3,875,481,450","3,009,928,652"
COGS,"866,384,864","1,035,379,142","2,359,464,413","1,986,124,034","2,705,567,970","3,432,515,248","4,640,963,935","4,652,084,830","4,341,207,916","3,305,509,890","3,397,025,763","2,551,158,460"
Gross Profit,"91,671,364","1,311,458","52,708,374","130,337,794","368,697,813","226,223,674","394,663,025","531,757,481","524,930,795","447,981,709","478,455,687","458,770,192"
Administrative Expenses,"68,754,563","94,410,493","119,075,111","122,285,120","106,076,844","97,486,089","94,635,580","71,394,482","80,229,505","65,570,754","66,708,865","57,186,989"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"168,733,946","152,721,890","124,185,262","116,548,048","107,505,278","139,049,666","155,037,331","199,730,275","269,595,101","295,903,428","303,741,580","324,180,422"
Other Income,"18,385,065","77,895,810","109,919,647","11,934,126","15,874,767","120,830,681","73,658,766","1,804,849","96,523,055","9,841,400","4,793,930","7,167,940"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"6,740,105","21,547,752","1,225,066",0,"8,569,883","5,543,715","14,975,045","13,124,126","19,712,890","4,821,534","5,872,610","4,233,118"
EBITDA,"54,696,749","-5,456,930","81,552,786","56,680,361","365,896,944","343,932,639","448,477,110","535,894,208","600,754,843","460,861,149","491,494,166","478,152,052"
EBIT,"34,561,761","-36,750,977","42,327,844","19,986,800","269,925,853","244,024,551","358,711,166","449,043,722","521,511,455","387,430,821","410,668,142","404,518,025"
EBT,"-134,172,185","-189,472,867","-81,857,418","-96,561,248","162,420,575","104,974,885","203,673,835","249,313,447","251,916,354","91,527,393","106,926,562","80,337,603"
Tax,"1,456,800","2,337,715",0,0,0,0,"-852,817",0,"448,304","486,659","-268,789","-697,717"
PAT,"-135,628,985","-191,810,582","-81,857,418","-96,561,248","162,420,575","104,974,885","204,526,652","249,313,447","251,468,050","91,040,734","107,195,351","81,035,320"
EPS,-7.1,-10.05,-4.29,-5.06,8.51,5.5,10.71,13.06,13.17,4.77,5.61,4.24
