Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"4,901,284,000","4,001,591,000","3,466,918,000","2,842,085,000","2,583,566,000","2,140,951,000","2,236,019,000","1,856,926,000","1,570,912,000","1,303,019,000","1,152,511,000","1,129,070,000","1,024,221,000"
COGS,"3,004,975,000","2,416,355,000","2,173,695,000","1,753,679,000","1,706,946,000","1,465,235,000","1,575,208,000","1,310,772,000","1,057,056,000","959,019,000","694,332,000","668,808,000","557,721,000"
Gross Profit,"1,896,309,000","1,585,236,000","1,293,223,000","1,088,406,000","876,620,000","675,716,000","660,811,000","546,154,000","513,856,000","344,000,000","458,179,000","460,262,000","466,500,000"
Administrative Expenses,"298,322,000","239,421,000","243,741,000","197,459,000","180,286,000","170,417,000","164,818,000","162,313,000","143,181,000","128,812,000","104,713,000","75,428,000","61,697,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"4,322,000","3,093,000","4,315,000","4,129,000","11,244,000","26,764,000","42,495,000","61,033,000","43,211,000","6,371,000","1,875,000","1,787,000","527,000"
Other Income,"360,071,000","175,649,000","133,140,000","520,700,000","300,600,000","282,092,000","213,579,000","200,437,000","252,575,000","254,885,000","213,518,000","202,417,000","112,344,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"152,124,000","359,089,000","98,422,000","103,392,000","72,272,000","57,326,000","56,406,000","55,165,000","69,817,000","42,174,000","44,852,000","92,253,000","39,168,000"
EBITDA,"2,003,298,000","1,377,678,000","1,292,657,000","1,514,036,000","1,137,119,000","933,968,000","857,166,000","723,535,000","705,114,000","560,593,000","636,622,000","598,791,000","579,244,000"
EBIT,"1,805,934,000","1,162,375,000","1,084,200,000","1,308,255,000","924,662,000","730,065,000","653,166,000","529,113,000","553,433,000","427,899,000","522,132,000","494,998,000","477,979,000"
EBT,"1,801,612,000","1,159,282,000","1,079,885,000","1,304,126,000","913,418,000","703,301,000","610,671,000","468,080,000","510,222,000","421,528,000","520,257,000","493,211,000","477,452,000"
Tax,"525,363,000","387,248,000","341,473,000","366,473,000","282,547,000","197,387,000","198,814,000","147,848,000","132,121,000","106,452,000","172,166,000","161,056,000","180,031,000"
PAT,"1,276,249,000","772,034,000","738,412,000","937,653,000","630,871,000","505,914,000","411,857,000","320,232,000","378,101,000","315,076,000","348,091,000","332,155,000","297,421,000"
EPS,21.54,13.03,12.46,15.82,10.65,8.54,8.34,7.78,9.19,7.66,8.46,8.07,7.23
