Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,41.79,63.32,64.20,50.56,70.44,70.28,59.95,51.40,65.30,65.30,59.11,61.94,34.59
Plow Back,58.21,36.68,35.80,49.44,29.55,29.72,40.05,48.60,34.70,34.70,40.89,38.06,65.41
Return on Equity,22.04,15.63,15.69,20.38,14.85,12.58,11.22,9.22,11.15,9.79,11.19,11.18,10.67
Return on Assets,18.27,12.69,12.53,16.51,11.97,9.82,8.40,6.68,7.95,7.33,9.58,9.63,9.31
Book Value per Share,97.71,83.34,79.41,77.64,71.71,67.84,74.32,84.37,82.44,78.25,75.59,72.17,81.29
Earning Per Share,21.54,13.03,12.46,15.82,10.65,8.54,8.34,7.78,9.19,7.66,8.46,8.07,7.23
Net Working Capital to Total Asseets,0.41,0.39,0.49,0.43,0.39,0.20,0.15,0.33,0.32,0.48,0.55,0.53,0.52
Current Ratio,3.72,3.37,3.93,3.87,3.78,2.32,2.02,3.41,3.84,4.92,6.46,6.43,6.36
Acid Test,3.03,2.82,3.36,3.06,2.97,1.72,1.41,2.62,2.87,4.07,5.23,5.41,5.24
Times Interest Earned,417.85,375.81,251.26,316.85,82.24,27.28,15.37,8.67,12.81,67.16,278.47,277.00,906.98
Total Debt Ratio,0.17,0.19,0.20,0.19,0.19,0.22,0.25,0.28,0.29,0.25,0.14,0.14,0.13
Debt To Equity,0.21,0.23,0.25,0.23,0.24,0.28,0.34,0.38,0.40,0.33,0.17,0.16,0.15
Return on Capital Employed,0.30,0.23,0.22,0.27,0.20,0.17,0.16,0.13,0.13,0.11,0.16,0.16,0.17
Average Collection Period,26.88,82.41,65.97,81.15,43.92,43.09,46.42,53.65,76.19,91.42,64.30,93.84,94.13
Days sales Inventory,88.23,82.52,94.78,143.03,127.24,118.32,104.82,144.89,178.25,168.82,238.38,187.24,226.56
Total Assets Turnover,0.70,0.66,0.59,0.50,0.49,0.42,0.46,0.39,0.33,0.30,0.32,0.33,0.32
Gross Profit Margin,38.69,39.62,37.30,38.30,33.93,31.56,29.55,29.41,32.71,26.40,39.76,40.77,45.55
Net Profit Margin,26.04,19.29,21.30,32.99,24.42,23.63,18.42,17.25,24.07,24.18,30.20,29.42,29.04
