Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"18,038,720,000","11,767,843,000","10,000,115,000","9,150,109,000","8,089,022,000","7,059,726,000","6,226,651,000","6,330,565,000","6,652,020,000","6,502,773,000","7,314,360,000","7,152,802,000"
Investments,"4,631,252,000","4,436,561,000","4,051,815,000","3,735,560,000","3,436,508,000","3,276,116,000","3,070,286,000","2,989,350,000","2,749,610,000","2,547,853,000","2,312,806,000","2,018,198,000"
Cash in Hand and Bank,"2,319,546,000","1,973,413,000","2,591,864,000","5,988,405,000","2,103,517,000","1,295,633,000","858,390,000","3,388,485,000","1,438,447,000","1,045,025,000","869,623,000","6,549,868,000"
Stores and Spares,0,0,0,0,0,0,"14,845,000","14,845,000","15,143,000","14,502,000","15,719,000","17,992,000"
Stock in Trade,"17,413,439,000","14,884,111,000","9,500,585,000","10,366,172,000","13,281,189,000","13,086,285,000","17,818,412,000","17,377,946,000","17,847,222,000","12,348,438,000","13,076,718,000","9,004,305,000"
Trade Debts,"4,544,062,000","3,264,207,000","3,101,181,000","2,122,335,000","1,600,632,000","2,626,021,000","2,259,170,000","2,006,553,000","2,488,910,000","2,013,358,000","1,239,213,000","2,925,753,000"
Current Assets,"32,874,667,000","31,810,746,000","23,319,967,000","27,239,755,000","26,235,785,000","27,724,683,000","29,867,704,000","33,765,000,000","36,760,642,000","25,489,760,000","21,363,250,000","26,546,737,000"
Quick Assets,"15,461,228,000","16,926,635,000","13,819,382,000","16,873,583,000","12,954,596,000","14,638,398,000","12,034,447,000","16,372,209,000","18,898,277,000","13,126,820,000","8,270,813,000","17,524,440,000"
Total Assets,"56,175,007,000","49,116,568,000","38,893,113,000","42,510,431,000","37,934,443,000","38,678,765,000","40,595,925,000","44,895,862,000","49,159,081,000","38,497,511,000","33,653,733,000","39,272,130,000"
Interest Bearing Long Term Liability,"3,718,614,000",0,0,0,0,0,0,0,0,"2,662,000","1,790,000","2,501,795,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,"189,351,000","187,104,000","212,038,000","181,544,000"
Interest Bearing Short Term Liability,"8,561,106,000","8,052,978,000","395,000,000","1,278,307,000","2,025,448,000","3,765,762,000","6,158,020,000","12,170,000,000","15,745,032,000","10,001,988,000","8,491,809,000","13,894,872,000"
* Non Interest Bearing Short Term Liability,"38,413,396,000","33,769,786,000","27,154,883,000","30,038,459,000","29,041,194,000","28,497,958,000","26,543,379,000","25,870,089,000","24,712,748,000","20,022,900,000","16,171,034,000","16,160,120,000"
Trades Payables,"38,401,649,000","33,766,676,000","27,154,452,000","30,037,827,000","29,030,718,000","28,487,894,000","26,526,642,000","25,817,640,000","24,495,103,000","19,936,550,000","15,970,996,000","15,597,095,000"
Total Current Liabilities,"47,853,871,000","42,632,263,000","28,601,244,000","31,316,757,000","31,488,155,000","32,642,090,000","33,039,308,000","38,380,676,000","40,711,609,000","30,407,710,000","25,169,302,000","30,333,233,000"
Total Liabilities,"51,883,874,000","42,763,246,000","28,695,053,000","31,400,649,000","31,953,621,000","32,783,700,000","33,373,399,000","38,720,272,000","40,900,960,000","30,597,476,000","25,383,130,000","33,016,572,000"
Paid Up Capital,"1,070,125,000","1,070,125,000","1,070,125,000","1,070,125,000","1,070,125,000","1,070,125,000","856,100,000","856,100,000","684,880,000","684,880,000","684,880,000","684,880,000"
Reserves,"3,221,008,000","5,283,197,000","9,127,935,000","10,039,657,000","4,910,697,000","4,824,940,000","6,366,426,000","5,319,490,000","7,573,241,000","7,215,155,000","7,585,723,000","5,570,678,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"4,291,133,000","6,353,322,000","10,198,060,000","11,109,782,000","5,980,822,000","5,895,065,000","7,222,526,000","6,175,590,000","8,258,121,000","7,900,035,000","8,270,603,000","6,255,558,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"107,012,500","107,012,500","107,012,500","107,012,331","107,012,331","107,012,331","85,609,865","85,609,886","68,487,913","68,487,913","68,487,913","68,487,913"
