Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"199,718,601,000","186,203,555,000","168,848,437,000","167,641,602,000","197,128,351,000","250,784,741,000","249,213,991,000","212,800,610,000","219,149,349,000","197,530,911,000","156,000,098,000","163,150,920,000"
COGS,"184,621,127,000","170,779,180,000","153,972,023,000","153,638,427,000","186,533,476,000","243,203,242,000","237,837,485,000","203,521,445,000","206,668,670,000","185,403,153,000","143,097,916,000","156,699,426,000"
Gross Profit,"15,097,474,000","15,424,375,000","14,876,414,000","14,003,175,000","10,594,875,000","7,581,499,000","11,376,506,000","9,279,165,000","12,480,679,000","12,127,758,000","12,902,182,000","6,451,494,000"
Administrative Expenses,"5,042,971,000","5,028,800,000","4,146,166,000","3,585,894,000","2,995,215,000","4,377,485,000","4,138,929,000","4,171,129,000","3,471,447,000","3,679,805,000","3,846,205,000","2,784,663,000"
Selling & Distributive Expenses,"7,388,212,000","6,482,137,000","6,018,105,000","5,441,546,000","4,965,781,000","3,814,407,000","3,368,284,000","3,229,142,000","4,141,036,000","4,524,058,000","3,376,353,000","3,198,933,000"
Financial Charges,"1,522,768,000","370,159,000","235,049,000","203,896,000","299,146,000","447,109,000","532,151,000","1,634,318,000","2,095,883,000","1,264,677,000","1,401,211,000","1,522,123,000"
Other Income,"1,508,418,000","1,481,125,000","1,257,335,000","1,518,885,000","1,008,310,000","1,820,316,000","854,825,000","1,090,729,000","806,335,000","1,123,456,000","492,001,000","602,223,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"2,791,907,000","5,084,078,000","1,411,469,000","584,902,000","998,218,000","216,430,000","1,767,474,000","1,330,649,000","745,931,000","738,589,000","1,284,990,000","2,713,437,000"
EBITDA,"3,011,612,000","1,265,954,000","5,420,272,000","6,671,269,000","3,489,663,000","2,026,143,000","3,950,970,000","2,718,861,000","6,013,975,000","5,297,733,000","6,060,937,000","-880,569,000"
EBIT,"1,382,802,000","310,485,000","4,558,009,000","5,909,718,000","2,643,971,000","993,493,000","2,956,644,000","1,638,974,000","4,928,600,000","4,308,762,000","5,311,220,000","-1,526,614,000"
EBT,"-139,966,000","-59,674,000","4,322,960,000","5,705,822,000","2,344,825,000","546,384,000","2,424,493,000","4,656,000","2,832,717,000","3,044,085,000","3,910,009,000","-3,048,737,000"
Tax,"1,345,801,000","1,042,311,000","1,140,258,000","-1,059,085,000","1,433,855,000","1,613,517,000","1,363,332,000","2,087,187,000","1,926,727,000","1,428,503,000","1,347,061,000","-1,323,147,000"
PAT,"-1,485,767,000","-1,101,985,000","3,182,702,000","6,764,907,000","910,970,000","-1,067,133,000","1,061,161,000","-2,082,531,000","905,990,000","1,615,582,000","2,562,948,000","-1,725,590,000"
EPS,-13.88,-10.3,29.74,63.22,8.51,-9.97,12.4,-24.33,13.23,23.59,37.42,-25.2
