Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"1,863,439,000","1,929,317,000","1,329,038,000","11,759,460,000","1,187,011,000","1,199,334,000","847,625,000","764,709,000","434,590,000","423,097,000","416,802,000","299,770,000","292,922,000"
Investments,"2,650,000","2,478,000","2,667,000","2,877,000","2,121,000","2,358,000","1,830,000","11,004,000","8,419,000","8,358,000","8,105,000","8,548,000","9,915,000"
Cash in Hand and Bank,"202,541,000","233,723,000","152,949,000","73,227,000","102,906,000","143,255,000","153,416,000","149,601,000","109,169,000","82,608,000","99,509,000","70,844,000","84,042,000"
Stores and Spares,"119,002,000","126,326,000","124,439,000","71,178,000","66,718,000","57,967,000","46,458,000","28,051,000","15,408,000","6,997,000","15,081,000","18,796,000","1,091,000"
Stock in Trade,"1,527,152,000","1,645,062,000","1,720,889,000","1,358,515,000","1,238,081,000","1,453,506,000","1,147,773,000","998,614,000","1,245,699,000","1,159,551,000","842,482,000","755,711,000","689,438,000"
Trade Debts,"156,598,000","136,615,000","116,219,000","259,853,000","269,494,000","305,770,000","323,208,000","248,995,000","243,299,000","165,627,000","135,317,000","86,291,000","74,892,000"
Current Assets,"2,689,702,000","2,829,500,000","2,852,472,000","2,339,390,000","2,074,373,000","2,210,327,000","1,833,945,000","1,508,567,000","1,747,094,000","1,511,800,000","1,191,958,000","1,043,406,000","1,002,615,000"
Quick Assets,"1,043,548,000","1,058,112,000","1,007,144,000","909,697,000","769,574,000","698,854,000","639,714,000","481,902,000","485,987,000","345,252,000","334,395,000","268,899,000","312,086,000"
Total Assets,"4,769,137,000","4,805,143,000","4,232,546,000","3,523,396,000","3,267,758,000","3,415,580,000","2,687,742,000","2,277,628,000","2,195,442,000","1,945,569,000","1,619,453,000","1,354,385,000","1,308,055,000"
Interest Bearing Long Term Liability,"345,465,000","422,882,000",0,0,"90,000,000","210,000,000",0,0,0,"13,900,000","37,228,000","543,000","4,429,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"983,955,000","482,103,000","553,262,000","382,525,000","346,277,000","370,000,000","164,530,000","154,948,000","310,500,000","231,174,000","112,948,000","34,097,000","23,388,000"
* Non Interest Bearing Short Term Liability,"780,545,000","897,687,000","836,913,000","682,334,000","670,079,000","789,571,000","710,501,000","609,960,000","573,339,000","604,384,000","488,154,000","392,764,000","338,208,000"
Trades Payables,"738,534,000","869,963,000","832,469,000","680,750,000","668,625,000","778,894,000","704,928,000","603,972,000","564,119,000","600,350,000","486,348,000","392,371,000","338,208,000"
Total Current Liabilities,"2,471,310,000","2,148,681,000","1,871,604,000","1,438,653,000","1,274,019,000","1,402,920,000","1,113,964,000","916,198,000","1,023,300,000","920,811,000","680,194,000","530,603,000","519,497,000"
Total Liabilities,"2,819,484,000","2,571,563,000","1,923,069,000","1,500,691,000","1,433,393,000","1,687,418,000","1,182,486,000","966,590,000","1,079,982,000","992,558,000","771,315,000","576,565,000","571,355,000"
Paid Up Capital,"87,846,000","87,846,000","79,860,000","79,860,000","79,860,000","79,860,000","72,600,000","66,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000"
Reserves,"1,861,807,000","2,145,734,000","2,229,617,000","1,942,845,000","1,754,505,000","1,648,302,000","1,432,656,000","1,245,038,000","1,055,460,000","893,011,000","788,138,000","717,820,000","676,700,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"1,949,653,000","2,233,580,000","2,309,477,000","2,022,705,000","1,834,365,000","1,728,162,000","1,505,256,000","1,311,038,000","1,115,460,000","953,011,000","848,138,000","777,820,000","736,700,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"8,784,600","8,784,600","7,986,000","7,986,000","7,986,000","7,986,000","7,260,000","6,600,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000"
