Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"7,313,042,000","7,704,097,000","7,503,273,000","7,159,015,000","6,816,540,000","6,817,635,000","6,760,527,000","5,674,500,000","5,060,898,000","4,221,827,000","3,528,134,000","2,728,709,000","2,468,572,000"
COGS,"6,213,833,000","6,172,758,000","5,405,841,000","5,083,750,000","4,931,776,000","4,877,580,000","4,735,740,000","3,963,874,000","3,603,285,000","3,130,544,000","2,591,790,000","1,974,446,000","1,691,443,000"
Gross Profit,"1,099,209,000","1,531,339,000","2,097,432,000","2,075,265,000","1,884,764,000","1,940,055,000","2,024,787,000","1,710,626,000","1,457,613,000","1,091,283,000","936,344,000","754,263,000","777,129,000"
Administrative Expenses,"333,450,000","342,335,000","336,606,000","278,729,000","244,291,000","217,741,000","214,310,000","162,644,000","145,075,000","116,605,000","101,413,000","91,449,000","78,951,000"
Selling & Distributive Expenses,"799,910,000","939,875,000","1,050,436,000","1,230,186,000","1,249,860,000","1,245,656,000","1,272,778,000","1,005,438,000","846,287,000","629,912,000","580,492,000","443,862,000","368,240,000"
Financial Charges,"206,986,000","68,195,000","39,188,000","36,419,000","52,178,000","60,967,000","28,571,000","45,756,000","53,118,000","40,343,000","17,950,000","6,542,000","8,104,000"
Other Income,"59,501,000","91,264,000","51,480,000","38,321,000","51,859,000","59,796,000","53,592,000","37,257,000","37,657,000","28,780,000","19,432,000","20,155,000","19,880,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"121,034,000","120,264,000","233,450,000","206,309,000","186,818,000","161,177,000","162,188,000","139,724,000","132,720,000","122,601,000","90,702,000","71,979,000","72,555,000"
EBITDA,"231,482,000","480,628,000","735,082,000","616,738,000","467,048,000","564,118,000","572,521,000","568,084,000","427,856,000","305,918,000","228,044,000","206,383,000","312,722,000"
EBIT,"-95,684,000","220,129,000","528,420,000","398,362,000","255,654,000","375,277,000","429,103,000","440,077,000","371,188,000","250,945,000","183,169,000","167,112,000","276,503,000"
EBT,"-302,670,000","151,934,000","489,232,000","361,943,000","203,476,000","314,310,000","400,532,000","394,321,000","318,070,000","210,602,000","165,219,000","160,570,000","268,399,000"
Tax,"-66,886,000","38,860,000","94,439,000","102,625,000","9,190,000","19,332,000","141,000,000","145,000,000","110,700,000","70,000,000","58,474,000","58,099,000","107,195,000"
PAT,"-235,784,000","113,074,000","394,793,000","259,318,000","194,286,000","294,978,000","259,532,000","249,321,000","207,370,000","140,602,000","106,745,000","102,471,000","161,204,000"
EPS,-26.84,12.87,49.44,32.47,24.33,36.94,32.5,37.78,31.42,23.43,17.79,17.08,26.87
