Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,42.73,30.34,41.58,36.99,29.78,27.97,26.47,26.04,32.01,33.73,35.13,37.22
Plow Back,100.00,57.27,69.66,58.42,63.01,70.22,72.03,73.53,73.96,68.00,66.28,64.87,62.78
Return on Equity,-12.09,5.06,17.09,12.82,10.59,17.07,17.24,19.02,18.59,14.75,12.59,13.17,21.88
Return on Assets,-4.94,2.35,9.33,7.36,5.95,8.64,9.66,10.95,9.45,7.23,6.59,7.57,12.32
Book Value per Share,221.94,254.26,289.19,253.28,229.70,216.40,207.34,198.64,185.91,158.84,141.36,129.64,122.78
Earning Per Share,-26.84,12.87,49.44,32.47,24.33,36.94,32.50,37.78,31.42,23.43,17.79,17.08,26.87
Net Working Capital to Total Asseets,0.05,0.14,0.23,0.26,0.24,0.24,0.27,0.26,0.33,0.30,0.32,0.38,0.37
Current Ratio,1.09,1.32,1.52,1.63,1.63,1.58,1.65,1.65,1.71,1.64,1.75,1.97,1.93
Acid Test,0.42,0.49,0.54,0.63,0.60,0.50,0.57,0.53,0.47,0.37,0.49,0.51,0.60
Times Interest Earned,-0.46,3.23,13.48,10.94,4.90,6.16,15.02,9.62,6.99,6.22,10.20,25.54,34.12
Total Debt Ratio,0.59,0.54,0.45,0.43,0.44,0.49,0.44,0.42,0.49,0.51,0.48,0.43,0.44
Debt To Equity,1.45,1.15,0.83,0.74,0.78,0.98,0.79,0.74,0.97,1.04,0.91,0.74,0.78
Return on Capital Employed,-0.04,0.08,0.22,0.19,0.13,0.19,0.27,0.32,0.32,0.24,0.20,0.20,0.35
Average Collection Period,7.82,6.47,5.65,13.25,14.43,16.37,17.45,16.02,17.55,14.32,14.00,11.54,11.07
Days sales Inventory,96.69,104.74,124.60,102.65,96.57,113.11,92.04,94.54,127.75,136.01,120.77,143.18,149.01
Total Assets Turnover,1.53,1.60,1.77,2.03,2.09,2.00,2.52,2.49,2.31,2.17,2.18,2.01,1.89
Gross Profit Margin,15.03,19.88,27.95,28.99,27.65,28.46,29.95,30.15,28.80,25.85,26.54,27.64,31.48
Net Profit Margin,-3.22,1.47,5.26,3.62,2.85,4.33,3.84,4.39,4.10,3.33,3.03,3.75,6.53
