Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"6,991,936,000","7,153,137,000","6,028,882,000","5,457,545,000","4,606,615,000","4,485,977,000","4,036,797,000","3,616,523,774","3,469,388,120","2,720,993,139","2,594,352,212","2,283,027,574","1,797,488,227"
Investments,"2,936,524,000","1,724,918,000","1,419,957,000","207,571,000","1,098,041,000","143,305,000","101,235,000","102,010,959",0,"10,161,095","15,912,055","35,574,658","25,733,148"
Cash in Hand and Bank,"2,395,052,000","791,696,000","479,453,000","641,743,000","486,449,000","524,397,000","449,052,000","661,535,453","306,452,463","147,102,170","183,233,299","133,467,417","168,611,576"
Stores and Spares,"151,312,000","131,637,000","119,607,000","81,195,000","145,524,000","186,285,000","171,882,000","157,000,558","107,211,553","64,335,025","62,045,044","47,799,008","40,017,352"
Stock in Trade,"646,353,000","496,758,000","468,819,000","380,052,000","256,458,000","202,463,000","212,538,000","205,482,482","201,800,751","113,284,561","82,557,630","65,575,907","44,870,927"
Trade Debts,"511,624,000","581,466,000","714,034,000","447,770,000","338,745,000","334,242,000","343,029,000","337,325,548","341,159,290","284,262,865","221,671,184","185,349,462","153,179,664"
Current Assets,"4,669,661,000","2,891,682,000","2,602,726,000","2,216,962,000","2,530,407,000","1,577,183,000","1,480,609,000","1,610,214,070","1,162,704,681","721,672,685","649,201,833","544,130,341","515,013,362"
Quick Assets,"3,871,996,000","2,263,287,000","2,014,300,000","1,755,715,000","2,128,425,000","1,188,435,000","1,096,189,000","1,247,731,030","853,692,377","544,053,099","504,599,159","430,755,426","430,125,083"
Total Assets,"15,259,253,000","11,937,659,000","10,145,778,000","7,748,485,000","7,194,699,000","6,119,289,000","5,855,531,000","5,257,778,652","4,654,157,897","3,452,961,548","3,252,373,669","2,839,328,122","2,323,925,276"
Interest Bearing Long Term Liability,"3,523,556,000","2,333,030,000","1,506,890,000","168,228,000","503,991,000","833,333,000","1,166,667,000","1,669,500,000","1,218,085,881","365,423,191","506,533,376","535,440,151","644,585,838"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"473,620,000","165,746,000","174,202,000","335,764,000","335,674,000","333,333,000","377,508,000","70,000,000","258,601,964","403,211,026","383,136,806","165,440,422","73,299,049"
* Non Interest Bearing Short Term Liability,"3,018,869,000","3,358,838,000","2,929,688,000","1,959,388,000","1,506,968,000","1,489,090,000","1,199,030,000","869,374,229","848,384,667","624,599,996","449,515,714","367,378,525","352,059,014"
Trades Payables,"2,984,085,000","3,328,432,000","2,917,424,000","1,958,990,000","1,506,485,000","1,488,297,000","1,197,572,000","863,613,219","807,288,201","608,178,792","433,925,309","349,637,143","336,357,497"
Total Current Liabilities,"3,529,154,000","3,573,255,000","3,137,871,000","2,295,152,000","1,842,642,000","1,822,423,000","1,597,824,000","939,374,229","1,106,986,631","1,027,811,022","833,640,937","536,835,097","425,358,063"
Total Liabilities,"7,491,705,000","6,290,600,000","5,019,947,000","2,877,026,000","2,770,239,000","3,113,156,000","3,205,957,000","3,067,854,752","2,776,336,560","1,760,164,666","1,666,634,902","1,331,438,545","1,285,538,443"
Paid Up Capital,"619,749,000","545,379,000","545,379,000","545,379,000","545,379,000","505,138,000","505,138,000","505,138,000","505,138,000","505,138,000","505,138,000","505,138,000","505,138,000"
Reserves,"6,387,453,000","4,329,661,000","3,857,142,000","3,599,320,000","3,136,890,000","1,749,813,000","1,384,260,000","1,101,412,910","782,131,715","589,928,628","475,691,279","390,662,855","309,998,342"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"760,346,000","772,019,000","723,310,000","726,760,000","742,191,000","751,182,000","760,176,000","583,372,990","590,551,622","597,730,254","604,909,488","612,088,722","223,250,491"
Shareholder Equity,"7,767,548,000","5,647,059,000","5,125,831,000","4,871,459,000","4,424,460,000","3,006,133,000","2,649,574,000","2,189,923,900","1,877,821,337","1,692,796,882","1,585,738,767","1,507,889,577","1,038,386,833"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"61,974,900","54,537,900","54,537,900","54,537,900","54,567,900","50,513,800","50,513,800","50,513,800","50,513,800","50,513,800","50,513,800","50,513,800","50,513,800"
