Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"12,151,762,000","11,743,625,000","10,270,597,000","9,257,009,000","8,730,803,000","7,410,022,000","6,393,105,000","5,315,589,840","4,451,781,252","3,412,687,983","2,555,758,847","1,948,834,848","1,652,459,343"
COGS,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross Profit,"12,151,762,000","11,743,625,000","10,270,597,000","9,257,009,000","8,730,803,000","7,410,022,000","6,393,105,000","5,315,589,840","4,451,781,252","3,412,687,983","2,555,758,847","1,948,834,848","1,652,459,343"
Administrative Expenses,"11,480,652,000","10,630,459,000","9,508,191,000","8,464,606,000","7,668,538,000","6,579,618,000","5,622,197,000","4,625,961,837","3,944,837,669","2,942,406,982","2,155,202,902","1,652,684,437","1,344,781,874"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"478,598,000","95,900,000","57,280,000","66,389,000","108,997,000","158,914,000","190,462,000","190,278,919","150,799,775","115,679,932","91,041,059","109,119,040","86,995,988"
Other Income,"637,219,000","55,871,000","63,084,000","136,579,000","86,760,000","55,288,000","56,127,000","40,539,494","14,812,246","12,927,903","10,970,666","20,103,050","12,230,233"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"32,278,000",0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,"2,094,158,000","1,737,375,000","1,329,318,000","1,392,404,000","1,564,266,000","1,265,356,000","1,145,606,000","1,003,151,412","751,704,100","668,241,244","563,347,485","447,694,222","432,293,482"
EBIT,"1,276,051,000","1,169,037,000","825,490,000","928,982,000","1,149,025,000","885,692,000","827,035,000","730,167,497","521,755,829","483,208,904","411,526,611","316,253,461","319,907,702"
EBT,"797,453,000","1,073,137,000","768,210,000","862,593,000","1,040,028,000","726,778,000","636,573,000","539,888,578","370,956,054","367,528,972","320,485,552","207,134,421","232,911,714"
Tax,"292,262,000","295,803,000","211,522,000","256,166,000","279,930,000","193,768,000","172,017,000","152,015,315","110,160,899","108,929,457","131,506,002","79,478,268","78,230,368"
PAT,"505,191,000","777,334,000","556,688,000","606,427,000","760,098,000","533,010,000","464,556,000","387,873,263","260,795,155","258,599,515","188,979,550","127,656,153","154,681,346"
EPS,8.18,14.25,10.21,11.12,14.68,10.55,9.2,7.68,5.16,5.12,3.74,2.53,3.06
