Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"3,766,132,000","3,603,425,000","1,934,858,000","1,560,357,000","811,280,000","681,683,000","736,255,000","707,623,000","457,041,000","314,840,000","319,096,000","351,511,000","284,369,000"
Investments,"140,373,000","139,023,000","116,039,000","113,196,000","109,575,000","98,366,000","92,949,000","88,817,000","80,350,000","83,259,000","76,064,000","690,816,000","50,843,000"
Cash in Hand and Bank,"52,962,000","30,661,000","56,274,000","50,240,000","38,579,000","13,203,000","92,064,000","143,677,000","505,320,000","86,612,000","359,781,000","41,558,000","221,744,000"
Stores and Spares,"140,593,000","140,056,000","119,093,000","119,294,000","110,933,000","111,531,000","116,635,000","89,617,000","85,393,000","71,030,000","85,081,000","74,047,000","82,368,000"
Stock in Trade,"258,663,000","293,938,000","383,474,000","804,212,000","162,713,000","570,463,000","185,812,000","261,899,000","204,439,000","609,844,000","4,069,000","10,140,000","154,038,000"
Trade Debts,"55,348,000","108,793,000","55,926,000","44,342,000","2,074,000","25,926,000","84,029,000","52,334,000",0,"56,088,000","1,991,000","394,000","91,528,000"
Current Assets,"883,834,000","990,072,000","1,034,114,000","1,379,615,000","660,264,000","953,926,000","604,773,000","629,578,000","1,006,059,000","923,837,000","517,113,000","820,806,000","586,393,000"
Quick Assets,"484,578,000","556,078,000","531,547,000","456,109,000","386,618,000","271,932,000","302,326,000","278,062,000","716,227,000","242,963,000","427,963,000","736,619,000","349,987,000"
Total Assets,"4,794,737,000","4,739,739,000","3,089,442,000","3,058,966,000","1,621,003,000","1,826,575,000","1,436,891,000","1,440,041,000","1,545,852,000","1,345,834,000","933,734,000","1,235,457,000","929,275,000"
Interest Bearing Long Term Liability,"1,236,074,000","1,065,860,000","1,133,248,000","771,742,000","25,000,000","75,000,000","125,000,000","175,000,000",0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"575,286,000","742,741,000","653,697,000","721,911,000","274,666,000","597,402,000","50,000,000","25,000,000",0,0,0,0,0
* Non Interest Bearing Short Term Liability,"231,136,000","236,365,000","355,298,000","124,440,000","63,918,000","85,354,000","115,111,000","84,565,000","112,049,000","108,845,000","44,792,000","100,172,000","71,926,000"
Trades Payables,"175,575,000","159,677,000","322,609,000","102,576,000","60,225,000","68,579,000","110,555,000","79,875,000","112,049,000","108,845,000","44,792,000","100,172,000","71,926,000"
Total Current Liabilities,"1,079,298,000","1,182,643,000","1,116,784,000","919,225,000","385,374,000","720,872,000","165,589,000","158,382,000","301,877,000","156,159,000","85,607,000","237,982,000","135,699,000"
Total Liabilities,"2,358,992,000","2,279,911,000","2,291,535,000","1,794,793,000","438,828,000","823,485,000","317,013,000","357,575,000","378,496,000","232,683,000","154,909,000","309,809,000","194,890,000"
Paid Up Capital,"120,111,000","120,111,000","120,111,000","120,111,000","120,111,000","120,111,000","120,111,000","120,111,000","120,111,000","120,111,000","120,111,000","120,111,000","120,111,000"
Reserves,"809,523,000","833,606,000","677,796,000","1,144,062,000","1,062,064,000","882,979,000","999,767,000","962,355,000","1,047,245,000","986,919,000","627,488,000","779,570,000","585,811,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,506,111,000","1,506,111,000",0,0,0,0,0,0,0,"6,121,000","31,226,000","25,967,000","28,463,000"
Shareholder Equity,"2,435,745,000","2,459,828,000","797,907,000","1,264,173,000","1,182,175,000","1,003,090,000","1,119,878,000","1,082,466,000","1,167,356,000","1,113,151,000","778,825,000","925,648,000","734,385,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"12,011,100","12,011,100","12,011,100","12,011,096","12,011,096","12,011,096","12,011,096","12,011,096","12,011,100","12,011,100","12,011,096","12,011,096","12,011,096"
