Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"4,539,679,000","4,609,540,000","4,878,366,000","5,807,237,000","4,707,035,000","3,860,292,000","4,411,837,000","4,649,244,000","5,119,499,000","4,459,414,000","3,654,162,000","2,828,705,000","1,993,838,000"
COGS,"4,151,015,000","4,189,472,000","5,009,896,000","5,147,313,000","4,180,351,000","3,741,001,000","4,148,757,000","4,493,005,000","4,569,928,000","3,828,790,000","3,561,729,000","2,245,547,000","1,681,710,000"
Gross Profit,"388,664,000","420,068,000","-131,530,000","659,924,000","526,684,000","119,291,000","263,080,000","156,239,000","549,571,000","630,624,000","92,433,000","583,158,000","312,128,000"
Administrative Expenses,"238,026,000","223,620,000","233,006,000","243,028,000","190,437,000","175,527,000","165,303,000","150,142,000","146,758,000","124,012,000","106,889,000","101,343,000","91,482,000"
Selling & Distributive Expenses,"9,428,000","11,150,000","11,969,000","12,753,000","9,710,000","8,772,000","8,454,000","8,987,000","10,371,000","7,393,000","6,373,000","6,545,000","6,505,000"
Financial Charges,"138,785,000","129,610,000","55,803,000","74,571,000","47,543,000","98,671,000","90,988,000","55,181,000","54,980,000","82,932,000","61,056,000","23,700,000","21,011,000"
Other Income,"17,130,000","40,356,000","25,416,000","16,626,000","19,050,000","23,719,000","53,116,000","28,453,000","44,178,000","89,112,000","47,022,000","24,059,000","13,004,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"7,056,000","8,055,000","4,315,000","24,237,000","18,094,000","4,185,000","6,022,000","3,574,000","29,774,000","48,888,000","9,916,000","36,687,000","16,956,000"
EBITDA,"181,585,000","217,653,425","-294,069,000","462,240,000","395,748,000","29,152,000","209,125,000","55,318,000","442,306,000","575,411,000","54,413,000","498,179,000","240,016,000"
EBIT,"151,284,000","217,599,000","-355,404,000","396,532,000","327,493,000","-45,474,000","136,417,000","21,989,000","406,846,000","539,443,000","16,277,000","466,065,000","207,887,000"
EBT,"12,499,000","87,989,000","-411,207,000","321,961,000","279,950,000","-144,145,000","45,429,000","-33,192,000","351,866,000","456,511,000","-44,779,000","442,365,000","186,876,000"
Tax,"70,950,000","54,746,000","-2,362,000","179,049,000","100,494,000","-52,666,000","9,289,000","-32,380,000","141,401,000","97,764,000","24,480,000","153,977,000","53,656,000"
PAT,"-58,451,000","33,243,000","-408,845,000","142,912,000","179,456,000","-91,479,000","36,140,000","-812,000","210,465,000","358,747,000","-69,259,000","288,388,000","133,220,000"
EPS,-4.87,2.77,-34.04,11.9,14.94,-7.62,3.01,-0.07,17.52,29.87,-5.77,24.01,11.09
