Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Investments,"694,131,096","724,966,089","310,011,352","301,827,121","302,814,785","262,858,987","290,344,015","268,411,757","81,085,233","160,273,211","182,609,085"
Fixed Assets,"82,318,416","11,064,668","12,215,747","46,314,431","48,657,025","45,639,693","22,607,588","67,591,585","184,310,664","60,491,255","51,218,117"
Other Non Current Assets,"66,326,240","52,081,890","3,000","3,000","3,000","371,350","3,458,752","8,764,725","2,774,059","2,136,673","1,390,304"
Cash in Hand and Bank,"23,318,700","21,238,119","439,200,042","218,256,073","174,423,014","230,399,166","71,531,639","48,490,177","26,323,815","136,970,219","132,726,634"
Other Current Assets,"308,113,720","342,914,457","279,812,875","204,234,156","255,006,342","247,487,668","476,450,736","485,818,888","538,027,727","357,834,673","361,725,978"
Total Assets,"1,174,208,172","1,152,265,223","1,041,243,016","770,634,781","780,904,166","786,756,864","864,392,730","879,077,132","832,521,498","717,706,031","729,670,118"
Under Writing Provisions,"262,620,950","264,178,846","260,211,400","264,103,769","312,763,939","358,941,380","499,160,382","462,143,590","441,174,335","443,475,963","414,469,990"
Creditors and Accruals,"208,100,844","202,100,934","160,355,757","99,519,053","99,856,692","87,333,415","187,202,304","130,165,118","121,765,786","77,611,141","89,548,264"
Other Liabilites,"82,374,678","2,308,759","398,934","608,017","2,015,446","398,934","909,372","3,395,128","4,116,779","398,934","398,934"
Total Liabilities,"553,096,472","468,588,539","420,966,091","364,230,839","414,636,077","446,673,729","687,272,058","595,703,836","567,056,600","521,486,038","504,417,188"
Paid Up Capital,"600,000,000","600,000,000","600,000,000","450,000,000","450,000,000","450,000,000","300,000,000","300,000,000","250,000,000","200,000,000","200,000,000"
Reserves,"21,111,700","83,676,684","20,276,925","-43,596,058","-83,731,911","-109,916,865","-122,879,328","-16,626,704","15,464,898","-3,780,007","25,252,930"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"621,111,700","683,676,684","620,276,925","406,403,942","366,268,089","340,083,135","177,120,672","283,373,296","265,464,898","196,219,993","225,252,930"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"60,000,000","60,000,000","60,000,000","45,000,000","45,000,000","45,000,000","30,000,000","30,000,000","25,000,000","20,000,000","20,000,000"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0
