Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Long Term Loans & Advances,"10,067,047","6,378,461","12,942,646","17,766,190","2,978,750",0,0,"750,000",0,0,0,0
Investments,"334,006,340","112,714,036","55,836,219","124,657,944","26,181,818","55,744,302","507,864,473","669,340,716","585,709,064","574,197,890","758,043,368","607,988,321"
Fixed Assets,"158,654,100","39,904,411","9,172,179","10,698,704","11,568,874","1,061,796","1,207,931","1,051,882","1,192,020","1,171,193","3,630,213","4,918,947"
Cash in Hand and Bank,"8,033,947","9,455,215","34,443,155","8,439,698","11,986,367","54,903,699","8,619,929","9,749,494","13,243,835","6,727,743","28,116,634","26,254,850"
Current Assets,"620,979,333","720,089,852","595,323,324","525,657,798","485,500,321","485,355,755","671,955,308","746,928,793","715,814,630","605,321,004","738,194,789","699,234,671"
Total Assets,"838,995,615","818,872,724","678,537,982","622,988,794","557,052,835","546,216,855","793,127,342","964,700,048","940,103,374","835,642,401","959,498,062","931,546,079"
Total Non Current Liabilities,"980,476","182,552,146",0,0,0,0,0,0,0,0,"7,938,830","6,286,285"
Total Current Liabilities,"199,327,936","37,428,884","96,584,183","50,208,647","37,975,210","29,680,180","310,383,199","479,235,984","487,153,300","383,136,729","500,880,134","620,833,424"
Total Liabilities,"200,308,412","219,981,030","96,584,183","50,208,647","37,975,210","29,680,180","310,383,199","479,235,984","487,153,300","383,136,729","508,818,964","627,119,709"
Paid Up Capital,"514,335,580","514,335,580","514,335,580","514,335,580","514,335,580","514,335,580","514,335,580","514,335,580","514,335,583","514,335,583","514,335,583","514,335,583"
Reserves,"124,351,623","84,843,280","69,563,625","8,884,714","4,836,626","2,988,318","-7,824,115","-11,163,529","-13,954,458","-16,516,734","-63,656,485","-209,909,213"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"638,687,203","598,891,694","581,953,799","572,780,147","519,077,625","516,536,675","482,744,143","485,464,064","452,950,074","452,505,672","450,679,098","304,426,370"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"51,433,558","51,433,558","51,433,558","51,433,558","51,433,558","51,433,558","51,433,558","51,433,558","51,433,558","51,433,558.3","51,433,558","51,433,558"
Surplus On Revaluation of Assets,0,"-287,166","-1,945,406","49,559,853","-94,581","-787,223","-23,767,322","-17,707,987","-47,431,051","-45,313,177",0,0
