Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"411,512,000","378,120,000","388,095,000","312,647,000","240,832,000","138,316,000","562,824,000","1,383,047,000","1,544,021,000","1,631,041,000","1,678,522,000","1,662,500,000","1,589,664,000"
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"437,657,000","553,204,000","1,449,708,000","3,748,015,000","5,234,379,000","679,202,000","1,052,992,000","663,703,000","1,298,909,000","719,368,000","1,396,266,000","1,403,094,000","3,407,239,000"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,0,0,0
Stock in Trade,"807,716,000","1,305,741,000","1,314,431,000","1,617,439,000","1,180,684,000","1,291,605,000","2,317,235,000","2,085,208,000","2,985,409,000","3,325,075,000","3,734,297,000","4,367,431,000","4,588,682,000"
Trade Debts,"8,096,229,000","9,040,768,000","7,909,930,000","4,927,341,000","4,045,675,000","4,175,017,000","4,233,194,000","6,099,401,000","6,681,761,000","8,883,168,000","14,665,339,000","13,583,392,000","11,127,285,000"
Current Assets,"12,257,400,000","14,493,932,000","16,390,641,000","12,623,080,000","13,058,342,000","8,481,047,000","11,314,504,000","13,423,547,000","14,767,855,000","17,388,728,000","20,746,763,000","20,380,263,000","21,148,339,000"
Quick Assets,"11,449,684,000","13,188,191,000","15,076,210,000","11,005,641,000","11,877,658,000","7,189,442,000","8,997,269,000","13,423,547,000","11,782,446,000","170,063,877,000","17,012,466,000","16,012,832,000","16,559,657,000"
Total Assets,"13,958,972,000","16,339,216,000","18,009,829,000","14,446,874,000","14,738,727,000","12,426,298,000","14,158,034,000","16,786,171,000","18,608,551,000","21,338,952,000","24,541,135,000","24,258,445,000","24,775,382,000"
Interest Bearing Long Term Liability,"243,020,000",0,0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"150,656,000","793,642,000","1,876,320,000","167,415,000","16,204,000","212,209,000","2,186,713,000","2,618,391,000","2,796,443,000","3,948,627,000","4,297,231,000","1,674,696,000","907,909,000"
* Non Interest Bearing Short Term Liability,"6,188,345,000","6,244,694,000","7,330,409,000","7,426,020,000","7,908,477,000","6,748,998,000","6,287,720,000","6,832,835,000","6,901,794,000","6,819,367,000","8,738,208,000","11,493,646,000","13,974,641,000"
Trades Payables,"6,188,345,000","6,244,694,000","7,330,409,000","7,426,020,000","7,908,477,000","6,748,998,000","6,287,720,000","6,832,835,000","6,901,794,000","6,819,367,000","8,738,208,000","11,493,646,000","13,974,641,000"
Total Current Liabilities,"8,648,157,000","10,261,739,000","12,060,756,000","9,051,602,000","9,483,536,000","8,668,972,000","10,341,449,000","12,269,184,000","12,027,436,000","14,647,903,000","17,201,035,000","17,149,395,000","18,381,034,000"
Total Liabilities,"8,990,315,000","10,351,772,000","12,231,660,000","9,120,270,000","9,507,286,000","9,222,847,000","10,369,415,000","12,321,467,000","12,088,167,000","14,730,246,000","17,372,710,000","17,347,252,000","18,487,125,000"
Paid Up Capital,"82,470,000","82,470,000","82,470,000","82,470,000","82,470,000","82,470,000","82,470,000","82,470,000","82,470,000","82,470,000","82,470,000","82,470,000","82,470,000"
Reserves,"4,886,187,000","5,904,974,000","5,695,699,000","5,244,134,000","5,148,971,000","3,120,981,000","3,706,149,000","4,382,234,000","6,437,914,000","6,526,236,000","7,085,955,000","6,828,723,000","6,205,787,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"4,968,657,000","5,987,444,000","5,778,169,000","5,326,604,000","5,231,441,000","3,203,451,000","3,788,619,000","4,464,704,000","6,520,384,000","6,608,706,000","7,168,425,000","6,911,193,000","6,288,257,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"8,247,000","8,247,000","8,247,000","8,247,037","8,247,037","8,247,037","8,247,037","8,247,037","8,247,037","8,247,037","8,247,037","8,247,037","8,247,037"
