Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,-16.63,53.47,53.36,56.06,47.04,-15.61,-15.74,-16.92,-19205.21,122.34,74.26,54.37,44.20
Plow Back,116.63,46.53,46.64,43.94,52.96,115.61,115.75,116.92,19305.21,-22.34,25.74,45.63,55.80
Return on Equity,-9.98,11.85,20.06,20.71,40.22,-16.49,-13.82,-21.84,-0.08,1.02,13.94,19.75,26.70
Return on Assets,-3.55,4.34,6.44,7.64,14.27,-4.25,-3.70,-5.81,-0.03,0.32,4.07,5.63,6.78
Book Value per Share,602.48,726.01,700.64,645.88,634.34,388.44,459.39,541.37,790.63,801.34,869.21,838.02,762.49
Earning Per Share,-60.14,86.03,140.56,133.79,255.12,-64.05,-63.51,-118.22,-0.62,8.17,121.19,165.53,203.60
Net Working Capital to Total Asseets,0.26,0.26,0.24,0.25,0.24,-0.02,0.07,0.07,0.15,0.13,0.14,0.13,0.11
Current Ratio,1.42,1.41,1.36,1.39,1.38,0.98,1.09,1.09,1.23,1.19,1.21,1.19,1.15
Acid Test,1.32,1.29,1.25,1.22,1.25,0.83,0.87,1.09,0.98,11.61,0.99,0.93,0.90
Times Interest Earned,-0.27,6.01,28.98,89.49,7.01,-0.81,0.15,-2.14,-0.54,1.86,4.95,12.74,72.70
Total Debt Ratio,0.64,0.63,0.68,0.63,0.65,0.74,0.73,0.73,0.65,0.69,0.71,0.72,0.75
Debt To Equity,1.81,1.73,2.12,1.71,1.82,2.88,2.74,2.76,1.85,2.23,2.42,2.51,2.94
Return on Capital Employed,-0.01,0.24,0.39,0.27,0.04,-0.04,0.01,-0.12,-0.00,0.05,0.27,0.33,0.41
Average Collection Period,230.77,197.92,147.89,123.58,145.14,164.44,157.97,170.74,176.29,215.30,203.93,137.15,151.09
Days sales Inventory,24.74,33.63,29.58,48.72,46.65,53.74,93.19,59.88,84.35,93.77,60.92,49.56,73.30
Total Assets Turnover,0.92,1.02,1.08,1.01,0.69,0.75,0.69,0.78,0.74,0.71,1.07,1.49,1.08
Gross Profit Margin,6.95,15.01,16.91,16.73,9.19,5.33,7.21,2.51,6.62,14.05,14.76,11.02,14.99
Net Profit Margin,-3.87,4.25,5.94,7.58,20.68,-5.70,-5.36,-7.48,-0.04,0.45,3.81,3.78,6.25
