Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"11,792,672,025","12,698,107,030","12,264,826,597","10,074,067,654","9,813,778,375","8,722,879,814","8,807,482,117","8,099,794,812","7,463,926,517","6,216,879,954","5,735,795,493","6,178,399,033","5,479,570,069"
COGS,"9,513,537,908","9,938,577,050","9,632,096,101","7,762,170,677","7,684,836,486","7,151,198,900","6,668,370,974","5,596,131,127","5,393,939,325","4,663,238,913","4,197,070,746","4,216,643,662","3,924,285,790"
Gross Profit,"2,279,134,117","2,759,529,980","2,632,730,496","2,311,896,977","2,128,941,889","1,571,680,914","2,139,111,143","2,503,663,685","2,069,987,192","1,553,641,041","1,538,724,747","1,961,755,371","1,555,284,279"
Administrative Expenses,"626,211,798","660,168,458","607,541,270","579,700,037","512,805,184","442,810,106","353,114,075","400,466,890","223,171,410","217,956,918","231,781,301","240,361,887","168,728,675"
Selling & Distributive Expenses,"317,837,963","343,178,557","269,014,032","205,502,071","224,860,975","230,737,924","199,674,650","173,756,328","127,286,617","123,094,460","62,951,958","68,292,101","71,549,434"
Financial Charges,"994,985,687","641,593,283","439,420,093","370,921,238","250,950,254","333,242,327","404,951,571","486,828,528","682,871,270","703,493,583","600,871,299","604,981,196","368,094,645"
Other Income,"155,762,200","140,966,351","109,685,472","91,743,148","66,059,315","630,190,402","62,334,032","29,992,382","35,843,835","51,221,409","18,152,624","27,419,688","64,557,333"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"86,317,021","190,552,622","114,497,501","67,508,185","83,327,970","82,637,992","97,891,659","98,157,980","88,450,365","42,088,096","51,310,878","78,900,914","90,423,247"
EBITDA,"2,582,580,326","2,680,181,120","2,681,725,235","2,254,203,262","1,873,814,319","1,967,848,608","2,110,131,556","2,440,657,587","1,198,887,993","1,722,155,036","1,646,595,340","2,006,292,316","1,704,789,499"
EBIT,"1,404,529,535","1,706,596,694","1,751,363,165","1,550,929,832","1,374,007,075","1,445,685,294","1,550,764,791","1,861,274,869","1,666,922,635","1,221,722,976","1,210,833,234","1,592,875,332","1,287,394,815"
EBT,"409,543,848","1,065,003,411","1,311,943,072","1,180,008,594","1,123,056,821","1,112,442,967","1,145,813,220","1,374,446,341","984,051,365","518,229,393","609,961,935","987,894,136","919,300,170"
Tax,"110,780,421","179,545,004","225,758,372","13,626,906","353,835,282","126,011,653","284,639,086","338,342,478","295,569,418","90,238,072","147,244,514","357,439,095","296,954,801"
PAT,"298,763,427","885,458,407","1,086,184,700","1,166,381,688","769,221,539","986,431,314","861,174,134","1,036,103,863","688,481,947","427,991,321","462,717,421","630,455,041","622,345,369"
EPS,13.94,41.32,50.69,54.43,35.9,46.03,40.19,48.35,32.13,19.97,22.67,30.89,30.49
