Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"3,387,534,000","1,821,745,000","2,347,921,000","1,528,012,240","2,613,738,185","3,486,660,907","2,560,803,244","2,463,907,058","3,125,043,840","3,193,218,665","920,513,951","1,287,135,611"
COGS,"2,877,233,000","1,318,198,000","2,343,397,000","1,703,121,019","2,616,494,517","3,690,363,349","2,694,632,967","2,407,868,765","3,083,835,551","2,975,748,146","903,446,511","1,239,080,010"
Gross Profit,"510,301,000","503,547,000","4,524,000","-175,108,779","-2,756,332","-203,702,442","-133,829,723","56,038,293","41,208,289","217,470,519","17,067,440","48,055,601"
Administrative Expenses,"105,943,000","97,510,000","78,639,000","257,280,983","143,852,632","139,146,441","126,177,818","111,770,707","99,886,081","88,903,269","58,423,756","39,363,479"
Selling & Distributive Expenses,"5,764,000","5,494,000","3,194,000","3,765,129","4,283,311","5,393,280","3,942,067","3,331,530","3,300,046","1,924,524","752,913","1,489,909"
Financial Charges,"158,967,000","106,201,000","35,084,000","32,357,345","49,670,656","85,437,350","83,415,588","95,011,321","89,942,707","85,998,588","33,515,816","39,158,761"
Other Income,"437,000","139,351,000","351,466,000","18,379,930","10,356,480","10,306,645","17,336,226","2,876,268","19,086,193","11,565,152","604,148,825","1,220,731"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"16,714,000","45,616,000","15,126,000","8,666,900","372,290","955,089","505,742","670,995","376,704","4,455,977","36,859,161",0
EBITDA,"453,683,000","559,353,000","334,519,000","-306,820,375","-13,101,741","-246,975,847","-163,726,563","13,271,454","24,079,722","201,382,612","566,963,842","42,163,521"
EBIT,"382,317,000","494,278,000","259,031,000","-426,441,861","-140,908,085","-338,890,607","-247,119,124","-56,858,671","-43,268,349","133,751,901","525,180,435","8,422,944"
EBT,"223,350,000","388,077,000","223,947,000","-458,799,206","-190,578,741","-424,327,957","-330,534,712","-151,869,992","-133,211,056","47,753,313","491,664,619","-30,735,817"
Tax,"66,701,000","119,845,000","26,687,000","-232,254,898","37,582,004","-237,901,891","1,753,860","-17,012,194","15,334,181","1,348,212","96,910,043",0
PAT,"156,649,000","268,232,000","197,260,000","-226,544,308","-228,160,745","-186,426,066","-332,288,572","-134,857,797","-148,545,237","46,405,101","394,754,576","-30,735,817"
EPS,3.51,6.01,7.58,-10.16,-10.23,-8.36,-14.9,-6.05,-6.66,2.08,17.7,-1.38
