Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Cash in Hand and Bank,"594,229","313,653","3,340,121","4,144,334","10,616,928","27,419,693","36,562,506","4,491,392","4,840,042","7,081,414","2,551,680","3,750,104","38,694,002"
Current Assets,"232,002,544","257,652,597","268,559,793","261,793,563","310,295,080","357,184,980","514,778,094","561,933,450","825,464,508","1,097,057,619","1,635,192,551","1,955,314,751","2,468,443,545"
Fixed Assets,"61,661,517","64,295,878","66,952,302","73,636,021","82,189,045","93,423,187","15,651,680","125,857,142","136,846,804","13,844,299","161,313,712","204,684,092","246,680,736"
Investment In Lease,0,0,"15,541,259","16,838,239","46,733,560","65,907,748","62,291,472","154,529,750","118,134,074","328,128,834","494,911,937","1,222,342,992","2,302,632,066"
Non Current Assets,"334,826,369","334,826,369","333,817,369","400,592,213","375,883,359","347,125,761","326,227,943","451,070,922","358,881,555","397,474,991","458,287,018","495,287,035","281,325,918"
Total Assets,"628,490,430","656,774,844","685,879,723","752,860,037","815,101,044","863,641,676","918,949,189","1,168,003,813","1,439,326,941","1,836,505,743","2,749,705,218","3,966,168,059","5,577,273,714"
Total Current Liabilities,"537,389,543","483,891,737","452,630,910","488,678,440","443,177,539","425,125,865","708,463,852","350,283,322","426,693,030","785,581,213","1,123,605,238","1,915,227,272","2,328,460,476"
Long Term Deposits,0,0,"80,008","595,110","25,092,471","29,678,831","30,107,208","69,287,976","116,729,757","233,055,491","285,544,496","654,859,827","1,027,874,900"
Redeemable Capital,0,0,0,0,0,0,0,0,0,0,0,0,0
Long Term Certificates of Investment,0,0,0,0,0,0,0,0,0,0,0,0,"2,586,467"
Other Non Current Liabilities,"18,008,154","55,710,997","88,383,407","144,801,066","192,538,656","272,327,773","18,037,703","453,914,130","473,616,472","686,035,835","1,259,787,240","1,157,747,497","1,602,206,833"
Total Liabilities,"555,397,697","539,602,734","541,094,325","634,074,616","660,808,666","727,132,469","756,608,763","873,485,428","1,017,039,259","1,704,672,538","2,668,936,972","3,727,834,596","4,961,128,676"
Paid Up Capital,"438,027,750","438,027,750","438,027,750","438,027,750","363,000,000","438,027,750","438,027,750","438,027,750","438,027,750","438,027,750","438,027,750","438,027,750","475,500,000"
Preferred Equity,0,0,0,0,"75,027,750","75,027,750","75,027,750","75,027,750","75,027,750","75,027,750","75,027,750","75,027,750","112,500,000"
Reserves,"-384,586,860","-341,854,111","-315,587,451","-345,335,657","-313,433,987","-334,983,831","-313,123,197","-184,638,234","-59,932,929","-306,194,545","-378,578,579","-222,241,629","116,869,430"
Shareholder Equity,"73,092,733","117,172,110","144,785,398","118,785,421","154,292,378","136,509,208","237,368,177","294,518,385","422,287,682","131,833,205","80,768,247","238,333,463","616,145,038"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Share,"43,802,775","43,802,775","43,802,775","43,802,775","36,300,000","36,300,000","363,000,000","36,300,000","36,300,000","36,300,000","36,300,000","36,300,000","36,300,000"
Surplus On Revaluation of Assets,"19,651,843","20,998,471","22,345,099","26,093,328","29,698,615","33,465,289","37,435,874","41,128,869","44,192,861",0,"21,319,076","22,547,342","23,775,608"
