Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"10,253,780,000","10,825,661,000","8,487,270,000","8,987,560,000","9,599,483,000","10,254,043,000","6,252,667,000","6,401,019,000","5,241,210,000","4,250,985,000","6,736,662,000","6,588,481,000"
Investments,"2,015,124,000","1,938,565,000","1,084,476,000","954,356,000","901,845,000","899,408,000","1,330,329,000","869,936,000","687,597,000","559,658,000","1,167,218,000","1,325,349,000"
Cash in Hand and Bank,"83,702,000","28,271,000","5,255,000","18,640,000","1,528,456,000","94,992,000","100,369,000","69,601,000","119,169,000","33,514,000","24,508,000","346,394,000"
Stores and Spares,"63,691,000","65,756,000","61,342,000","70,879,000","83,516,000","100,287,000","115,086,000","129,862,000","106,393,000","106,389,000","138,482,000","96,873,000"
Stock in Trade,"576,860,000","1,028,311,000","1,115,847,000","347,650,000","804,951,000","479,944,000","522,007,000","1,765,735,000","1,085,822,000","131,989,000","630,739,000","630,739,000"
Trade Debts,"35,078,000","39,431,000","167,717,000","13,154,000","30,564,000","38,888,000","71,619,000","243,138,000","491,646,000","14,494,000","13,696,000","120,258,000"
Current Assets,"992,065,000","1,485,414,000","1,599,932,000","814,003,000","2,767,463,000","1,501,818,000","1,414,570,000","2,519,539,000","2,064,613,000","3,321,289,000","2,236,267,000","4,269,970,000"
Quick Assets,"351,514,000","391,347,000","422,743,000","395,474,000","1,878,996,000","921,587,000","777,477,000","623,942,000","872,398,000","3,082,911,000","831,324,000","1,702,864,000"
Total Assets,"13,350,983,000","14,307,132,000","11,270,752,000","10,839,796,000","13,328,591,000","12,411,426,000","8,810,991,000","9,726,433,000","7,982,265,000","8,268,794,000","10,527,021,000","12,406,788,000"
Interest Bearing Long Term Liability,"128,291,000","442,703,000","405,767,000","491,213,000",0,0,"36,151,000","478,757,000","388,042,000","1,196,503,000","1,437,221,000","2,347,867,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"2,060,530,000","2,340,987,000","1,784,867,000","1,116,742,000","3,619,093,000","3,226,087,000","3,273,090,000","4,466,752,000","5,002,221,000","4,637,080,000","5,818,101,000","5,137,156,000"
* Non Interest Bearing Short Term Liability,"2,107,787,000","1,708,836,000","2,177,135,000","3,450,566,000","4,353,892,000","3,443,214,000","3,338,726,000","3,102,065,000","2,312,798,000","1,930,386,000","1,546,946,000","1,199,992,000"
Trades Payables,"2,028,140,000","1,663,125,000","2,060,619,000","3,232,021,000","3,737,147,000","2,836,493,000","2,422,533,000","1,979,617,000","1,225,169,000","1,117,523,000","936,374,000","884,510,000"
Total Current Liabilities,"4,170,356,000","4,052,096,000","3,962,002,000","4,567,308,000","7,972,985,000","6,669,301,000","6,611,816,000","7,569,321,000","7,355,989,000","6,567,466,000","7,365,047,000","6,337,148,000"
Total Liabilities,"5,491,183,000","5,624,260,000","5,128,612,000","5,868,563,000","8,837,338,000","7,768,413,000","6,647,967,000","8,048,078,000","7,744,532,000","7,775,761,000","8,819,894,000","8,742,707,000"
Paid Up Capital,"1,250,000,000","1,250,000,000","1,250,000,000","1,100,000,000","695,238,000","695,238,000","695,238,000","695,238,000","695,238,000","695,238,000","695,238,000","695,238,000"
Reserves,"252,940,000","607,468,000","213,169,000","-1,071,542,000","-1,407,048,000","-1,350,105,000","-674,128,000","-1,298,462,000","-1,874,183,000","-1,901,630,000","-687,555,000","925,016,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"6,356,860,000","6,825,404,000","4,678,971,000","4,942,775,000","5,203,063,000","5,297,880,000","2,141,914,000","2,281,579,000","1,416,678,000","1,699,425,000","1,699,444,000","2,043,827,000"
Shareholder Equity,"7,859,800,000","8,682,872,000","6,142,140,000","4,971,233,000","4,491,253,000","4,643,013,000","2,163,024,000","1,678,355,000","237,733,000","493,033,000","1,707,127,000","3,664,081,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"125,000,000","125,000,000","125,000,000","110,000,002","69,523,798","69,523,796","69,523,798","69,523,798","69,523,798","69,523,798","69,523,798","69,523,798"
