Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"6,251,907,000","7,404,243,000","11,360,157,000","4,373,219,000","6,578,986,000","11,356,340,000","13,507,225,000","14,762,318,000","13,354,705,000","7,745,611,000","4,942,466,000","6,789,572,000"
COGS,"6,397,502,000","6,861,630,000","10,704,342,000","4,668,941,000","6,647,610,000","11,402,233,000","12,512,771,000","13,044,568,000","12,061,782,000","7,003,746,000","4,475,834,000","6,110,885,000"
Gross Profit,"-145,595,000","542,613,000","655,815,000","-295,722,000","-68,624,000","-45,893,000","994,454,000","1,717,750,000","1,292,923,000","741,865,000","466,632,000","678,687,000"
Administrative Expenses,"311,176,000","275,136,000","282,315,000","222,983,000","258,743,000","323,831,000","298,792,000","352,995,000","298,151,000","201,182,000","221,243,000","212,433,000"
Selling & Distributive Expenses,"31,405,000","216,785,000","161,084,000","55,965,000","174,258,000","313,341,000","330,387,000","337,108,000","245,043,000","93,100,000","117,110,000","164,080,000"
Financial Charges,"331,034,000","200,464,000","169,832,000","182,754,000","238,124,000","328,328,000","438,130,000","729,469,000","945,255,000","989,230,000","1,259,768,000","930,339,000"
Other Income,"54,628,000","357,158,000","337,928,000","752,312,000","741,131,000","474,164,000","520,052,000","239,208,000","444,037,000","60,936,000","86,202,000","78,126,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"38,707,000","49,225,000","30,500,000","26,551,000","44,034,000","47,356,000","117,835,000","94,933,000","171,725,000","53,397,000","489,410,000","171,832,000"
EBITDA,"143,350,000","858,121,000","1,054,352,000","733,985,000","829,395,000","71,650,000","1,110,038,000","1,457,764,000","1,196,749,000","814,675,000","136,491,000","591,974,000"
EBIT,"-472,255,000","358,625,000","519,844,000","151,091,000","195,472,000","-256,257,000","767,492,000","1,171,922,000","897,060,000","455,122,000","-274,929,000","208,468,000"
EBT,"-803,289,000","158,161,000","350,012,000","-31,663,000","-42,652,000","-584,585,000","329,362,000","442,453,000","-48,195,000","-534,108,000","-1,534,697,000","-721,871,000"
Tax,"-51,756,000","172,169,000","139,193,000","-13,770,000","100,104,000","54,224,000","62,350,000","-56,023,000","158,309,000","76,447,000","17,010,000","11,121,000"
PAT,"-751,533,000","-14,008,000","210,819,000","-17,893,000","-142,756,000","-638,809,000","267,012,000","498,476,000","-81,523,000","-610,555,000","-1,551,707,000","-732,992,000"
EPS,-6.01,-0.11,1.8,-0.18,-2.05,-9.19,3.84,7.17,-1.17,-8.78,-22.32,-10.54
