Year,2020,2019,2018,2017,2016,2015
Fixed Assets,"2,344,472,636","2,230,298,887","2,194,145,949","1,875,867,724","1,515,337,213","1,030,345,221"
Investments,"1,808,219","1,077,511","1,893,306","6,321,302","75,438,245","583,046,005"
Cash in Hand and Bank,"8,879,920","42,021,102","17,419,065","57,874,109","51,062,914","37,633,487"
Stores and Spares,"30,214,137","25,680,954","26,890,679","20,454,067","17,329,657","15,966,041"
Stock in Trade,"639,457,379","568,886,295","627,419,730","427,683,515","316,544,988","321,691,498"
Trade Debts,"509,334,671","487,002,926","325,901,613","339,046,438","281,157,522","249,155,073"
Current Assets,"1,515,028,122","591,034,240","1,281,467,221","1,086,233,279","943,726,825","1,320,569,682"
Quick Assets,"845,356,606","-3,533,009","627,156,812","638,095,697","609,852,180","982,912,143"
Total Assets,"3,872,619,422","3,725,600,311","3,490,539,096","2,985,184,161","2,481,024,358","2,364,932,060"
Interest Bearing Long Term Liability,"282,521,503","271,388,020","323,131,966","202,291,700","41,332,236","93,757,305"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0
Interest Bearing Short Term Liability,"344,451,440","416,875,798","307,026,519","342,312,791","311,800,078","456,604,693"
* Non Interest Bearing Short Term Liability,"161,080,373","172,427,728","171,783,709","168,283,480","132,186,682","134,541,508"
Trades Payables,"155,206,554","166,244,288","166,419,800","164,642,782","128,044,640","127,468,516"
Total Current Liabilities,"507,616,869","591,034,240","480,881,090","510,596,271","443,986,760","591,146,201"
Total Liabilities,"1,009,047,641","1,070,467,063","990,792,346","890,255,864","644,689,528","807,037,911"
Paid Up Capital,"884,884,000","850,850,000","850,850,000","850,850,000","773,500,000","773,500,000"
Reserves,"1,648,656,016","1,474,251,483","1,318,864,985","1,017,135,216","835,891,749","557,451,068"
Preferred Equity,0,0,0,0,0,0
Surplus On Revaluation of Assets,"330,031,765","330,031,765","330,031,765","226,943,081","226,943,081","226,943,081"
Shareholder Equity,"2,863,571,781","2,655,133,248","2,499,746,750","2,094,928,297","1,836,334,830","1,557,894,149"
Paid Up Value,10,10,10,10,10,10
Number of Shares,"88,488,400","85,085,000","85,085,000","85,085,000","77,350,000","77,350,000"
