Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Fixed Assets,"2,373,960,760","2,580,125,562","2,730,109,461","1,989,257,614","2,146,156,501","2,327,432,515","2,490,671,198","1,832,861,429","2,019,742,050","2,207,853,047"
Investments,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"42,471,897","3,008,439","1,634,358","4,761,969","35,860,754","6,378,894","847,908","15,972,007","10,953,312","18,738,913"
Stores and Spares,"111,705,561","94,793,290","85,883,377","84,984,312","86,619,713","88,108,495","91,315,479","70,054,497","64,599,121","68,898,886"
Stock in Trade,"609,267,601","526,695,174","485,788,968","468,637,071","430,789,976","509,269,141","521,114,471","438,579,847","421,915,901","377,671,588"
Trade Debts,"161,973,844","132,123,577","105,041,642","88,821,845","47,636,412","51,924,234","31,184,709","35,557,733","6,884,148","24,373,098"
Current Assets,"1,226,279,030","1,225,187,351","1,011,370,542","977,125,586","1,006,934,677","993,090,766","855,528,402","709,978,058","668,874,062","636,038,859"
Quick Assets,"505,305,868","603,698,887","439,698,197","423,504,203","489,524,988","395,713,130","243,098,452","201,343,714","182,359,040","189,468,385"
Total Assets,"3,604,444,790","3,809,517,913","3,745,685,003","2,970,088,200","3,156,796,178","3,324,428,281","3,350,104,600","2,589,044,487","2,734,621,112","2,888,596,906"
Interest Bearing Long Term Liability,"148,674,510","249,222,984","324,992,874","155,765,725","416,307,440","662,164,533","894,340,106","994,085,203","947,065,379","1,174,342,106"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"363,589,659","402,899,416","513,875,853","768,153,986","567,932,903","611,941,131","483,194,811","640,444,733","823,464,283","634,184,778"
* Non Interest Bearing Short Term Liability,"299,000,625","498,896,560","464,889,439","389,541,483","400,963,482","328,096,159","221,141,033","159,254,528","225,687,248","157,227,889"
Trades Payables,"244,024,954","393,475,057","376,134,502","371,654,842","388,312,573","308,722,308","193,825,769","126,249,012","146,385,445","91,999,414"
Total Current Liabilities,"722,785,223","960,928,496","995,293,003","1,168,518,343","982,180,212","953,515,990","718,816,520","805,415,911","1,059,253,128","804,596,088"
Total Liabilities,"1,574,982,160","1,856,729,697","1,994,825,913","1,813,444,074","1,912,217,340","2,097,678,189","2,071,917,016","1,900,088,041","2,026,436,591","1,981,777,960"
Paid Up Capital,"551,000,000","551,000,000","551,000,000","551,000,000","551,000,000","551,000,000","551,000,000","551,000,000","551,000,000","551,000,000"
Reserves,"247,354,973","75,417,761","-223,264,696","-213,606,545","-181,156,913","-253,678,095","-256,140,395","-289,753,009","-302,450,712","-133,209,710"
Preferred Equity,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,231,107,657","1,326,370,455","1,423,123,786","819,250,671","874,735,751","929,428,187","983,327,979","427,709,455","459,635,233","489,028,656"
Shareholder Equity,"2,029,462,630","1,952,788,216","1,750,859,090","1,156,644,126","1,244,578,838","1,226,750,092","1,278,187,584","688,956,446","708,184,521","906,818,946"
Paid Up Value,10,10,10,10,10,10,10,10,10,10
Number of Shares,"55,100,000","55,100,000","55,100,000","55,100,000","55,100,000","55,100,000","55,100,000","55,100,000","55,100,000","55,100,000"
